entry_id,row_restricted_index,col_restricted_index,row_atom,col_atom,restricted_value,diagonal_flag,nonzero_flag
0,0,0,1,1,0,1,0
1,0,1,1,2,0,0,0
2,0,2,1,3,2789315864,0,1
3,0,3,1,4,2357260089,0,1
4,0,4,1,5,0,0,0
5,0,5,1,7,0,0,0
6,0,6,1,8,0,0,0
7,0,7,1,9,0,0,0
8,0,8,1,10,0,0,0
9,0,9,1,11,0,0,0
10,0,10,1,12,0,0,0
11,0,11,1,13,4355292939,0,1
12,0,12,1,14,0,0,0
13,0,13,1,15,0,0,0
14,0,14,1,16,0,0,0
15,0,15,1,17,0,0,0
16,0,16,1,18,12812636930,0,1
17,0,17,1,19,0,0,0
18,1,0,2,1,0,0,0
19,1,1,2,2,0,1,0
20,1,2,2,3,0,0,0
21,1,3,2,4,718397382,0,1
22,1,4,2,5,4474129646,0,1
23,1,5,2,7,0,0,0
24,1,6,2,8,0,0,0
25,1,7,2,9,0,0,0
26,1,8,2,10,0,0,0
27,1,9,2,11,0,0,0
28,1,10,2,12,3469971000,0,1
29,1,11,2,13,0,0,0
30,1,12,2,14,0,0,0
31,1,13,2,15,0,0,0
32,1,14,2,16,0,0,0
33,1,15,2,17,0,0,0
34,1,16,2,18,0,0,0
35,1,17,2,19,0,0,0
36,2,0,3,1,2789315864,0,1
37,2,1,3,2,0,0,0
38,2,2,3,3,0,1,0
39,2,3,3,4,0,0,0
40,2,4,3,5,0,0,0
41,2,5,3,7,0,0,0
42,2,6,3,8,0,0,0
43,2,7,3,9,0,0,0
44,2,8,3,10,0,0,0
45,2,9,3,11,0,0,0
46,2,10,3,12,0,0,0
47,2,11,3,13,0,0,0
48,2,12,3,14,0,0,0
49,2,13,3,15,0,0,0
50,2,14,3,16,0,0,0
51,2,15,3,17,0,0,0
52,2,16,3,18,-2789315864,0,1
53,2,17,3,19,0,0,0
54,3,0,4,1,2357260089,0,1
55,3,1,4,2,718397382,0,1
56,3,2,4,3,0,0,0
57,3,3,4,4,0,1,0
58,3,4,4,5,0,0,0
59,3,5,4,7,0,0,0
60,3,6,4,8,0,0,0
61,3,7,4,9,0,0,0
62,3,8,4,10,0,0,0
63,3,9,4,11,0,0,0
64,3,10,4,12,0,0,0
65,3,11,4,13,100028407,0,1
66,3,12,4,14,0,0,0
67,3,13,4,15,2262694106,0,1
68,3,14,4,16,723859806,0,1
69,3,15,4,17,0,0,0
70,3,16,4,18,0,0,0
71,3,17,4,19,0,0,0
72,4,0,5,1,0,0,0
73,4,1,5,2,4474129646,0,1
74,4,2,5,3,0,0,0
75,4,3,5,4,0,0,0
76,4,4,5,5,0,1,0
77,4,5,5,7,0,0,0
78,4,6,5,8,0,0,0
79,4,7,5,9,0,0,0
80,4,8,5,10,0,0,0
81,4,9,5,11,0,0,0
82,4,10,5,12,-2721027375,0,1
83,4,11,5,13,0,0,0
84,4,12,5,14,894432749,0,1
85,4,13,5,15,0,0,0
86,4,14,5,16,0,0,0
87,4,15,5,17,0,0,0
88,4,16,5,18,0,0,0
89,4,17,5,19,0,0,0
90,5,0,7,1,0,0,0
91,5,1,7,2,0,0,0
92,5,2,7,3,0,0,0
93,5,3,7,4,0,0,0
94,5,4,7,5,0,0,0
95,5,5,7,7,0,1,0
96,5,6,7,8,0,0,0
97,5,7,7,9,4879688304,0,1
98,5,8,7,10,0,0,0
99,5,9,7,11,0,0,0
100,5,10,7,12,-4120517985,0,1
101,5,11,7,13,0,0,0
102,5,12,7,14,9635837211,0,1
103,5,13,7,15,3635640175,0,1
104,5,14,7,16,0,0,0
105,5,15,7,17,2136193089,0,1
106,5,16,7,18,0,0,0
107,5,17,7,19,0,0,0
108,6,0,8,1,0,0,0
109,6,1,8,2,0,0,0
110,6,2,8,3,0,0,0
111,6,3,8,4,0,0,0
112,6,4,8,5,0,0,0
113,6,5,8,7,0,0,0
114,6,6,8,8,0,1,0
115,6,7,8,9,6402989462,0,1
116,6,8,8,10,0,0,0
117,6,9,8,11,0,0,0
118,6,10,8,12,0,0,0
119,6,11,8,13,0,0,0
120,6,12,8,14,2205854598,0,1
121,6,13,8,15,0,0,0
122,6,14,8,16,0,0,0
123,6,15,8,17,1225370314,0,1
124,6,16,8,18,0,0,0
125,6,17,8,19,719635016,0,1
126,7,0,9,1,0,0,0
127,7,1,9,2,0,0,0
128,7,2,9,3,0,0,0
129,7,3,9,4,0,0,0
130,7,4,9,5,0,0,0
131,7,5,9,7,4879688304,0,1
132,7,6,9,8,6402989462,0,1
133,7,7,9,9,0,1,0
134,7,8,9,10,1527658764,0,1
135,7,9,9,11,0,0,0
136,7,10,9,12,0,0,0
137,7,11,9,13,0,0,0
138,7,12,9,14,0,0,0
139,7,13,9,15,910710462,0,1
140,7,14,9,16,0,0,0
141,7,15,9,17,0,0,0
142,7,16,9,18,0,0,0
143,7,17,9,19,1345776678,0,1
144,8,0,10,1,0,0,0
145,8,1,10,2,0,0,0
146,8,2,10,3,0,0,0
147,8,3,10,4,0,0,0
148,8,4,10,5,0,0,0
149,8,5,10,7,0,0,0
150,8,6,10,8,0,0,0
151,8,7,10,9,1527658764,0,1
152,8,8,10,10,0,1,0
153,8,9,10,11,-6172553382,0,1
154,8,10,10,12,-791735858,0,1
155,8,11,10,13,0,0,0
156,8,12,10,14,0,0,0
157,8,13,10,15,0,0,0
158,8,14,10,16,0,0,0
159,8,15,10,17,0,0,0
160,8,16,10,18,0,0,0
161,8,17,10,19,0,0,0
162,9,0,11,1,0,0,0
163,9,1,11,2,0,0,0
164,9,2,11,3,0,0,0
165,9,3,11,4,0,0,0
166,9,4,11,5,0,0,0
167,9,5,11,7,0,0,0
168,9,6,11,8,0,0,0
169,9,7,11,9,0,0,0
170,9,8,11,10,-6172553382,0,1
171,9,9,11,11,0,1,0
172,9,10,11,12,0,0,0
173,9,11,11,13,0,0,0
174,9,12,11,14,0,0,0
175,9,13,11,15,0,0,0
176,9,14,11,16,0,0,0
177,9,15,11,17,0,0,0
178,9,16,11,18,0,0,0
179,9,17,11,19,0,0,0
180,10,0,12,1,0,0,0
181,10,1,12,2,3469971000,0,1
182,10,2,12,3,0,0,0
183,10,3,12,4,0,0,0
184,10,4,12,5,-2721027375,0,1
185,10,5,12,7,-4120517985,0,1
186,10,6,12,8,0,0,0
187,10,7,12,9,0,0,0
188,10,8,12,10,-791735858,0,1
189,10,9,12,11,0,0,0
190,10,10,12,12,0,1,0
191,10,11,12,13,0,0,0
192,10,12,12,14,0,0,0
193,10,13,12,15,0,0,0
194,10,14,12,16,0,0,0
195,10,15,12,17,0,0,0
196,10,16,12,18,0,0,0
197,10,17,12,19,0,0,0
198,11,0,13,1,4355292939,0,1
199,11,1,13,2,0,0,0
200,11,2,13,3,0,0,0
201,11,3,13,4,100028407,0,1
202,11,4,13,5,0,0,0
203,11,5,13,7,0,0,0
204,11,6,13,8,0,0,0
205,11,7,13,9,0,0,0
206,11,8,13,10,0,0,0
207,11,9,13,11,0,0,0
208,11,10,13,12,0,0,0
209,11,11,13,13,0,1,0
210,11,12,13,14,0,0,0
211,11,13,13,15,0,0,0
212,11,14,13,16,-723859806,0,1
213,11,15,13,17,0,0,0
214,11,16,13,18,-3626111880,0,1
215,11,17,13,19,0,0,0
216,12,0,14,1,0,0,0
217,12,1,14,2,0,0,0
218,12,2,14,3,0,0,0
219,12,3,14,4,0,0,0
220,12,4,14,5,894432749,0,1
221,12,5,14,7,9635837211,0,1
222,12,6,14,8,2205854598,0,1
223,12,7,14,9,0,0,0
224,12,8,14,10,0,0,0
225,12,9,14,11,0,0,0
226,12,10,14,12,0,0,0
227,12,11,14,13,0,0,0
228,12,12,14,14,0,1,0
229,12,13,14,15,-3443327095,0,1
230,12,14,14,16,0,0,0
231,12,15,14,17,-4500837667,0,1
232,12,16,14,18,0,0,0
233,12,17,14,19,-5413126740,0,1
234,13,0,15,1,0,0,0
235,13,1,15,2,0,0,0
236,13,2,15,3,0,0,0
237,13,3,15,4,2262694106,0,1
238,13,4,15,5,0,0,0
239,13,5,15,7,3635640175,0,1
240,13,6,15,8,0,0,0
241,13,7,15,9,910710462,0,1
242,13,8,15,10,0,0,0
243,13,9,15,11,0,0,0
244,13,10,15,12,0,0,0
245,13,11,15,13,0,0,0
246,13,12,15,14,-3443327095,0,1
247,13,13,15,15,0,1,0
248,13,14,15,16,0,0,0
249,13,15,15,17,0,0,0
250,13,16,15,18,-2981091488,0,1
251,13,17,15,19,0,0,0
252,14,0,16,1,0,0,0
253,14,1,16,2,0,0,0
254,14,2,16,3,0,0,0
255,14,3,16,4,723859806,0,1
256,14,4,16,5,0,0,0
