observable_id,observable_code,value
0,0,1
1,1,1
2,2,19
3,3,1
4,4,18
5,5,324
6,6,33
7,7,18
8,8,0
9,9,10
10,10,8
11,11,0
12,12,1
13,13,0
14,14,0
15,15,0
16,16,0
17,17,0
18,18,2
