proof_id,proof_code,source_layer_code,primary_count,secondary_count,tertiary_count,certified_flag
0,0,0,985,1414965,2537360,1
1,1,1,9,8,15,1
2,2,2,306,74,306,1
3,3,5,288,16,288,1
4,4,7,131586,131586,26,1
5,5,-1,8,8,1,1
