observable_id,observable_code,value
0,0,985
1,1,1414965
2,2,2537360
3,3,306
4,4,288
5,5,131586
6,6,131586
7,7,26
8,8,8
9,9,8
10,10,6
11,11,5
12,12,0
13,13,0
14,14,5
15,15,1
16,16,1
17,17,0
