boundary_id,boundary_code,scope_code,resolved_flag,finite_theorem_required_flag,future_work_flag
0,0,0,0,0,1
1,1,1,0,0,1
2,2,1,0,0,1
3,3,2,0,0,1
4,4,3,0,0,1
