shell,start_index,success,iterations,F,dF_pair,minus_dF,theta0_minus_theta1,theta_std,theta_min,theta_max,valid_contact,positive_outward_derivative,message
12,0,True,1,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,True,False,Optimization terminated successfully
12,1,True,18,-6.217248937900877e-13,-2.7755575615628914e-16,2.7755575615628914e-16,1.0587911840678754e-22,2.6514637853621755e-07,-8.793910521261761e-07,7.994465003632721e-08,True,False,Optimization terminated successfully
12,2,True,20,-7.513989430663059e-13,5.551115123125783e-17,-5.551115123125783e-17,-4.235164736271502e-21,2.912979682340782e-07,-9.661260628253057e-07,8.782964408531237e-08,True,False,Optimization terminated successfully
12,3,True,33,-4.884981308350689e-13,5.551115123125783e-16,-5.551115123125783e-16,1.2089447146276452e-16,2.3444239222160653e-07,-4.593851132759229e-07,6.826104283456514e-07,True,False,Optimization terminated successfully
12,4,True,118,-7.638334409421077e-14,1.6653345369377348e-16,-1.6653345369377348e-16,-2.6469779601696886e-23,9.25726327556978e-08,-2.0098321881975617e-07,1.3806402789565659e-07,True,False,Optimization terminated successfully
12,5,True,138,-1.7763568394002505e-15,-2.7755575615628914e-16,2.7755575615628914e-16,1.6543612251060553e-24,1.7584320590753454e-08,-2.8621792434892103e-08,3.784188785283977e-08,True,False,Optimization terminated successfully
12,6,True,148,-3.2862601528904634e-14,2.220446049250313e-16,-2.220446049250313e-16,0.0,6.278910711929016e-08,-1.1107881342469085e-07,9.834814437731874e-08,True,False,Optimization terminated successfully
12,7,True,28,-8.739675649849232e-13,2.220446049250313e-16,-2.220446049250313e-16,-1.274394421066393e-16,3.139217368849995e-07,-1.0124027812253642e-06,4.619652364754978e-07,True,False,Optimization terminated successfully
12,8,True,28,-6.608047442568932e-13,-9.992007221626409e-16,9.992007221626409e-16,1.4713608156429478e-16,2.7328445827624814e-07,-7.659759665081064e-07,6.301537216515336e-07,True,False,Optimization terminated successfully
12,9,True,30,-3.6770586575585185e-13,0.0,-0.0,3.3884494263724217e-18,2.0371742909851148e-07,-4.733511678987381e-07,7.01277931838009e-07,True,False,Optimization terminated successfully
12,10,True,27,-8.402167850363185e-13,1.1102230246251565e-16,-1.1102230246251565e-16,-4.836558128822055e-18,3.080534066408645e-07,-4.602315907389623e-07,8.616282228480766e-07,True,False,Optimization terminated successfully
12,11,True,27,-7.664979762012081e-13,-2.220446049250313e-16,2.220446049250313e-16,-2.5420411659167214e-17,2.9469293951573424e-07,-6.916926524813964e-07,3.571322682980088e-07,True,False,Optimization terminated successfully
12,12,True,28,-6.927791673660977e-13,4.440892098500626e-16,-4.440892098500626e-16,1.395363431428516e-16,2.799149592047309e-07,-5.926231007477838e-07,4.362781278824518e-07,True,False,Optimization terminated successfully
12,13,True,42,-4.583000645652646e-13,2.220446049250313e-16,-2.220446049250313e-16,-2.3165281728309206e-16,2.2746746719665033e-07,-5.681123038152174e-07,6.197179784213275e-07,True,False,Optimization terminated successfully
12,14,True,30,-3.9523939676655573e-13,6.661338147750939e-16,-6.661338147750939e-16,-2.5663074356282506e-16,2.1141634057619883e-07,-5.436337279836292e-07,3.847231279169102e-07,True,False,Optimization terminated successfully
12,15,True,42,-6.821210263296962e-13,-5.551115123125783e-17,5.551115123125783e-17,6.254885682241819e-17,2.7775748635088134e-07,-6.009778266012373e-07,5.784315040473946e-07,True,False,Optimization terminated successfully
12,16,True,30,-7.105427357601002e-13,0.0,-0.0,2.193426492326289e-16,2.830266772677589e-07,-6.724815177975341e-07,3.8120900988748175e-07,True,False,Optimization terminated successfully
12,17,True,33,-3.6770586575585185e-13,1.0547118733938987e-15,-1.0547118733938987e-15,-9.159163135029802e-17,2.0419178720053592e-07,-4.16265158966023e-07,4.087754239960112e-07,True,False,Optimization terminated successfully
12,18,True,29,-7.576161920042068e-13,-6.106226635438361e-16,6.106226635438361e-16,3.798883740827025e-16,2.9254124910820044e-07,-4.432895426569554e-07,1.082225642515818e-06,True,False,Optimization terminated successfully
12,19,False,220,-3.695112169167203,-0.002201539489865123,0.002201539489865123,376.74778057697625,94.88753988129116,-343.0978022241844,33.649978352791834,False,False,Iteration limit reached
12,20,True,45,-3.1441516057384433e-13,-7.771561172376096e-16,7.771561172376096e-16,1.2822358285755997e-15,1.8884892427115715e-07,-3.17105676319907e-07,4.6809200209786107e-07,True,False,Optimization terminated successfully
12,21,True,75,-9.139355938714289e-13,0.0,-0.0,-7.241919940787454e-18,3.209782802239929e-07,-9.141461666897688e-07,5.568653444322002e-07,True,False,Optimization terminated successfully
12,22,True,173,-4.3520742565306136e-14,-3.3306690738754696e-16,3.3306690738754696e-16,-2.6469779601696886e-23,7.01404914245107e-08,-1.3358883176317792e-07,1.4031082670574367e-07,True,False,Optimization terminated successfully
12,23,True,63,-7.478462293875054e-13,-5.551115123125783e-16,5.551115123125783e-16,1.3959604573074322e-15,2.90610437957671e-07,-9.026290436602619e-07,4.020078026647427e-07,True,False,Optimization terminated successfully
12,24,True,57,-3.1441516057384433e-13,-1.6653345369377348e-16,1.6653345369377348e-16,1.9006511422946161e-16,1.8852782463287142e-07,-2.6373662606141137e-07,5.053811727189107e-07,True,False,Optimization terminated successfully
12,25,False,220,-3.695151743872941,-0.0025857768858310675,0.0025857768858310675,9.019658230937633,49.513332746381316,-156.751202193623,25.771434942266943,False,False,Iteration limit reached
12,26,False,220,-3.697830986572626,0.0005922589071076789,-0.0005922589071076789,87.58965740432232,602.5555986664597,-2824.3035288884607,200.22834758900777,False,False,Iteration limit reached
12,27,False,220,-3.695130277890712,-2.1462430995563724e-73,2.1462430995563724e-73,248805.0684042864,173056.8952908485,-594030.9745772245,62241.367212367106,False,False,Iteration limit reached
12,28,False,220,-3.695110331600972,-0.0007787648722489271,0.0007787648722489271,0.00038939296774742616,1126.7379709817376,-5316.2390459370345,281.6613985271799,False,False,Iteration limit reached
12,29,False,220,-3.695513926453714,8.732259566590645e-05,-8.732259566590645e-05,21.588637839941214,1250.4766588015593,-4485.717182330931,385.9971486415457,False,False,Iteration limit reached
12,30,False,220,-1477.2317851017287,-0.6431253298787507,0.6431253298787507,296552.936989968,59190.50251732264,-283850.73522645765,12702.993302081353,False,False,Iteration limit reached
12,31,False,220,-3.947410675144056,0.04134511729925672,-0.04134511729925672,69857.14152733459,30387.291382926513,-52930.35209192952,17551.339898519916,False,False,Iteration limit reached
12,32,False,220,-3.6951626716181636,0.0,-0.0,492064.4939630892,614942.6063126713,-1096525.006387589,579842.9505145632,False,False,Iteration limit reached
12,33,False,220,-3.715508855879307,0.010779017029152183,-0.010779017029152183,-0.004964613821357489,1117954.9040438642,-1566829.7757418426,864688.7832949501,False,False,Iteration limit reached
12,34,False,220,-19.39393143606503,-0.017701175319156603,0.017701175319156603,0.07040139096852727,3981.6397375051065,-14739.64154302183,1431.98645178755,False,False,Iteration limit reached
12,35,False,220,-3.9124361015856266,-0.001585207820595451,0.001585207820595451,0.0263170232065022,4582290.869230162,-10105120.382341916,2326417.514832597,False,False,Iteration limit reached
12,36,False,220,-3.6954194088466465,-0.01828700232353997,0.01828700232353997,762927.2371753007,182636.13562994657,-608019.5182451882,154907.7189301125,False,False,Iteration limit reached
16,0,True,1,0.0,-1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,True,False,Optimization terminated successfully
16,1,True,19,-3.517186542012496e-13,-1.1102230246251565e-16,1.1102230246251565e-16,3.282252670610414e-21,1.6391988753448328e-07,-5.43660762629138e-07,4.9423707897725324e-08,True,False,Optimization terminated successfully
16,2,True,20,-5.426770144367765e-13,3.3306690738754696e-16,-3.3306690738754696e-16,-5.505714157152952e-21,2.0286781795365665e-07,-6.728364341904066e-07,6.116695335521865e-08,True,False,Optimization terminated successfully
16,3,True,32,-7.345235530920036e-13,-2.3314683517128287e-15,2.3314683517128287e-15,2.5110018288530448e-15,2.3546607891896917e-07,-5.588417176100707e-07,3.566548664449663e-07,True,False,Optimization terminated successfully
16,4,True,103,-5.844214001626824e-13,1.1102230246251565e-16,-1.1102230246251565e-16,7.411538288475128e-22,2.1032070031600278e-07,-4.1028174808752855e-07,4.5658832052624016e-07,True,False,Optimization terminated successfully
