relation_id,visible_index,transition_id,source_atom_id,target_atom_id,rule_code,stress_edge_id,stress_source_atom,stress_target_atom,signed_tension_scaled,abs_tension_scaled,formal_pushforward_flag,operation_row_present_flag,physical_selector_axiom_flag
0,0,65,0,2,2,1,0,19,-10000000000,10000000000,1,0,0
1,1,43,1,5,1,29,5,1,812412783,812412783,1,0,0
2,1,37,1,5,1,29,5,1,812412783,812412783,1,0,0
3,1,63,1,5,1,29,5,1,812412783,812412783,1,0,0
4,2,65,2,11,2,55,11,0,10000000000,10000000000,1,0,0
5,3,35,5,15,2,26,5,12,-4054536444,4054536444,1,0,0
6,3,37,5,15,2,26,5,12,-4054536444,4054536444,1,0,0
7,3,40,5,15,2,26,5,12,-4054536444,4054536444,1,0,0
8,3,63,5,15,2,26,5,12,-4054536444,4054536444,1,0,0
9,4,12,11,13,2,55,11,0,10000000000,10000000000,1,0,0
10,5,5,15,10,2,52,10,11,-7465207748,7465207748,1,0,0
11,5,13,15,10,2,52,10,11,-7465207748,7465207748,1,0,0
12,5,39,15,10,2,52,10,11,-7465207748,7465207748,1,0,0
13,5,26,15,10,2,52,10,11,-7465207748,7465207748,1,0,0
14,6,49,13,16,0,66,13,16,-338229093,338229093,1,0,0
15,7,10,10,7,2,52,10,11,-7465207748,7465207748,1,0,0
16,7,15,10,7,2,52,10,11,-7465207748,7465207748,1,0,0
17,7,24,10,7,2,52,10,11,-7465207748,7465207748,1,0,0
18,7,39,10,7,2,52,10,11,-7465207748,7465207748,1,0,0
19,7,17,10,7,2,52,10,11,-7465207748,7465207748,1,0,0
20,7,42,10,7,2,52,10,11,-7465207748,7465207748,1,0,0
21,8,49,16,19,2,1,0,19,-10000000000,10000000000,1,0,0
22,9,16,7,18,2,37,7,9,6047383004,6047383004,1,0,0
23,9,16,7,18,2,37,7,9,6047383004,6047383004,1,0,0
24,9,53,7,18,2,37,7,9,6047383004,6047383004,1,0,0
25,9,17,7,18,2,37,7,9,6047383004,6047383004,1,0,0
26,9,42,7,18,2,37,7,9,6047383004,6047383004,1,0,0
27,10,19,19,17,2,1,0,19,-10000000000,10000000000,1,0,0
28,10,49,19,17,2,1,0,19,-10000000000,10000000000,1,0,0
29,11,4,18,14,1,72,14,18,-812412783,812412783,1,0,0
30,11,44,18,14,1,72,14,18,-812412783,812412783,1,0,0
31,11,40,18,14,1,72,14,18,-812412783,812412783,1,0,0
32,12,13,17,8,1,44,8,17,-2323258234,2323258234,1,0,0
33,13,0,14,4,2,74,14,7,4054536444,4054536444,1,0,0
34,13,3,14,4,2,74,14,7,4054536444,4054536444,1,0,0
35,13,38,14,4,2,74,14,7,4054536444,4054536444,1,0,0
36,13,40,14,4,2,74,14,7,4054536444,4054536444,1,0,0
37,13,26,14,4,2,74,14,7,4054536444,4054536444,1,0,0
38,14,21,8,6,2,40,8,19,-10000000000,10000000000,1,0,0
39,14,13,8,6,2,40,8,19,-10000000000,10000000000,1,0,0
40,15,21,4,9,2,47,9,19,-10000000000,10000000000,1,0,0
41,15,13,4,9,2,47,9,19,-10000000000,10000000000,1,0,0
42,15,39,4,9,2,47,9,19,-10000000000,10000000000,1,0,0
43,15,38,4,9,2,47,9,19,-10000000000,10000000000,1,0,0
44,15,50,4,9,2,47,9,19,-10000000000,10000000000,1,0,0
45,16,9,6,3,0,31,6,3,338229093,338229093,1,0,0
46,17,39,9,12,2,47,9,19,-10000000000,10000000000,1,0,0
47,17,17,9,12,2,47,9,19,-10000000000,10000000000,1,0,0
48,17,42,9,12,2,47,9,19,-10000000000,10000000000,1,0,0
49,18,1,3,0,2,1,0,19,-10000000000,10000000000,1,0,0
50,18,1,3,0,2,1,0,19,-10000000000,10000000000,1,0,0
51,18,2,3,0,2,1,0,19,-10000000000,10000000000,1,0,0
52,18,7,3,0,2,1,0,19,-10000000000,10000000000,1,0,0
53,19,16,12,1,0,64,12,1,812412783,812412783,1,0,0
54,19,16,12,1,0,64,12,1,812412783,812412783,1,0,0
55,19,44,12,1,0,64,12,1,812412783,812412783,1,0,0
56,19,53,12,1,0,64,12,1,812412783,812412783,1,0,0
57,19,17,12,1,0,64,12,1,812412783,812412783,1,0,0
58,19,42,12,1,0,64,12,1,812412783,812412783,1,0,0
