rank,p32_id,source_mask,p25_a,p25_b,p25_c,p25_d,p25_e,p25_f,p24_a,p24_b,p24_c,p24_d,p24_e,p24_f,lift_a,lift_b,lift_c,lift_d,lift_e,lift_f,face_a,face_b,face_c,face_d,face_e,face_f,mask_a,mask_b,mask_c,mask_d,mask_e,mask_f,same_lift_flag,same_face_flag,same_mask_flag,joint_p0_support,joint_p1_support,joint_p2_support,joint_p3_support,joint_p4_support,joint_support_min,joint_support_max,joint_support_spread,below_p31_floor_flag,below_p30_floor_flag,below_p29_floor_flag,below_p28_floor_flag,below_p27_floor_flag,below_p25_floor_flag,support_equal_flag,joint_mult_value
0,4326,2,9,14,18,27,77,108,4,7,9,13,38,54,0,0,0,0,1,2,12,12,12,12,22,26,30,30,30,30,45,51,0,0,0,641933344,646343808,649043072,647889024,649474944,641933344,649474944,7541600,0,0,0,0,1,1,0,4624220160
1,4782,2,10,21,31,32,85,140,5,10,15,16,42,70,0,0,0,0,1,2,12,12,12,12,22,26,30,30,30,30,45,51,0,0,0,646343808,641933344,647889024,649043072,649474944,641933344,649474944,7541600,0,0,0,0,1,1,0,5044174848
2,1508,2,2,6,20,66,96,122,1,3,10,33,48,61,0,0,0,1,2,2,12,12,12,22,26,26,30,30,30,45,51,51,0,0,0,237088576,237488672,237490432,231352448,238990080,231352448,238990080,7637632,0,0,0,0,1,1,0,3208642560
3,7192,2,22,26,34,58,116,142,11,13,17,29,58,71,0,0,0,1,2,2,12,12,12,22,26,26,30,30,30,45,51,51,0,0,0,237488672,237088576,231352448,237490432,238990080,231352448,238990080,7637632,0,0,0,0,1,1,0,3255828480
4,1564,2,2,8,52,56,116,141,1,4,26,28,58,70,0,0,1,1,2,2,12,12,22,22,26,26,30,30,45,45,51,51,0,0,0,800182240,800254272,800511296,793818752,801801344,793818752,801801344,7982592,0,0,0,0,1,1,0,5567938560
5,8124,2,30,34,78,90,109,122,15,17,39,45,54,61,0,0,1,1,2,2,12,12,22,22,26,26,30,30,45,45,51,51,0,0,0,800254272,800182240,793818752,800511296,801801344,793818752,801801344,7982592,0,0,0,0,1,1,0,4091019264
6,750,2,1,2,6,86,120,133,0,1,3,43,60,66,0,0,0,1,2,2,12,12,12,22,26,26,30,30,30,45,51,51,0,0,0,727452160,728407168,729099136,720784576,727972960,720784576,729099136,8314560,0,0,0,0,1,1,0,5374476288
7,7431,2,22,34,47,64,125,136,11,17,23,32,62,68,0,0,0,1,2,2,12,12,12,22,26,26,30,30,30,45,51,51,0,0,0,728407168,727452160,720784576,729099136,727972960,720784576,729099136,8314560,0,0,0,0,1,1,0,4739825664
8,2170,2,4,12,16,25,43,142,2,6,8,12,21,71,0,0,0,0,0,2,12,12,12,12,12,26,30,30,30,30,30,51,0,0,0,329079232,330544832,333424256,329582400,337561024,329079232,337561024,8481792,0,0,0,0,1,1,0,3777232896
9,2653,2,5,38,41,42,44,96,2,19,20,21,22,48,0,0,0,0,0,2,12,12,12,12,12,26,30,30,30,30,30,51,0,0,0,330544832,329079232,329582400,333424256,337561024,329079232,337561024,8481792,0,0,0,0,1,1,0,3587309568
