observable_id,observable_code,value,scale_code
0,0,144,0
1,1,60,0
2,2,2,0
3,3,8339,0
4,4,278,0
5,5,8061,0
6,6,0,0
7,7,11213312,0
8,8,10515968,0
9,9,2601984,0
10,10,2447744,0
11,11,4213120,0
12,12,1815040,0
13,13,7541600,0
14,14,0,0
15,15,0,0
16,16,0,0
17,17,0,0
18,18,0,0
19,19,0,0
20,20,0,0
21,21,0,0
22,22,96,0
23,23,146,0
24,24,0,0
25,25,4326,0
26,26,9,0
27,27,14,0
28,28,18,0
29,29,27,0
30,30,77,0
31,31,108,0
32,32,12,0
33,33,12,0
34,34,12,0
35,35,12,0
36,36,22,0
37,37,26,0
38,38,9602944,0
39,39,184,0
40,40,9602944,0
41,41,184,0
42,42,4,0
43,43,7735158,0
44,44,1,0
45,45,1,0
46,46,1,0
47,47,1,0
