face_id,edge_frame_id_0,edge_frame_id_1,edge_frame_id_2,edge_id_0,edge_id_1,edge_id_2,covered_triple_count,best_triple_id,best_triple_cut_conductance_x1e12,best_triple_old_cut_edge_still_cut_count
12,0,2,5,2504,2530,2545,47,24,3708282000,6
13,0,4,3,2504,2541,2537,48,24,3708282000,6
23,2,4,1,2530,2541,2516,82,81,3649635000,6
123,5,3,1,2545,2537,2516,82,81,3649635000,6
