triple_id,block_code_a,block_code_b,block_code_c,candidate_touch_count,cut_edge_touch_count,full_face_count,max_face_edge_touch_count,state_count,new_state_count,edge_count,new_edge_count,cut_edge_count,old_cut_edge_still_cut_count,old_cut_edge_same_side_count,promoted_cut_edge_count,promoted_only_cut_edge_count,lambda_2_x1e12,cut_conductance_x1e12,conductance_reduction_x1e12,support_changed_flag,selected_best_flag
52,4552,5125,2145,12,6,4,3,955,95,2962,391,11,6,0,11,5,2723154000,5437469000,-1108465000,0,0
53,4552,5125,5252,12,5,2,3,887,27,2637,66,7,6,0,7,1,2655982000,4857738000,-528734000,0,0
54,4552,1255,5255,11,5,2,3,915,55,2779,208,8,6,0,8,2,2658022000,4530011000,-201007000,0,0
55,4552,1255,1252,10,5,2,3,900,40,2712,141,7,6,0,7,1,2528551000,4355943000,-26939000,0,0
56,4552,1255,2145,10,6,4,3,962,102,3006,435,11,6,0,11,5,2644401000,5186233000,-857229000,0,0
57,4552,1255,5252,10,5,2,3,902,42,2712,141,7,6,0,7,1,2548410000,4313001000,16003000,0,0
58,4552,5255,1252,10,5,2,3,894,34,2686,115,6,6,0,6,0,2464579000,3750000000,579004000,0,0
59,4552,5255,2145,10,6,4,3,960,100,3000,429,11,6,0,11,5,2657173000,5186233000,-857229000,0,0
60,4552,5255,5252,10,5,2,3,894,34,2695,124,6,6,0,6,0,2451808000,3708282000,620722000,0,0
61,4552,1252,2145,9,6,4,3,954,94,2962,391,11,6,0,11,5,2709411000,5378973000,-1049969000,0,0
62,4552,1252,5252,9,5,2,3,878,18,2615,44,6,6,0,6,0,2561465000,4115226000,213778000,0,0
63,4552,2145,5252,9,6,4,3,951,91,2951,380,11,6,0,11,5,2726629000,5437469000,-1108465000,0,0
64,5125,1255,5255,11,5,2,3,924,64,2806,235,8,6,0,8,2,2659259000,4530011000,-201007000,0,0
65,5125,1255,1252,10,5,2,3,907,47,2734,163,7,6,0,7,1,2519034000,4355943000,-26939000,0,0
66,5125,1255,2145,10,6,4,3,965,105,3014,443,11,6,0,11,5,2639289000,5186233000,-857229000,0,0
67,5125,1255,5252,10,5,2,3,910,50,2737,166,7,6,0,7,1,2538808000,4313001000,16003000,0,0
68,5125,5255,1252,10,5,2,3,908,48,2724,153,7,6,0,7,1,2609975000,4345127000,-16123000,0,0
69,5125,5255,2145,10,6,4,3,964,104,3011,440,11,6,0,11,5,2653574000,5186233000,-857229000,0,0
70,5125,5255,5252,10,5,2,3,909,49,2734,163,7,6,0,7,1,2593184000,4297115000,31889000,0,0
71,5125,1252,2145,9,6,4,3,958,98,2973,402,11,6,0,11,5,2705919000,5378973000,-1049969000,0,0
72,5125,1252,5252,9,5,2,3,893,33,2654,83,7,6,0,7,1,2674675000,4758668000,-429664000,0,0
73,5125,2145,5252,9,6,4,3,955,95,2962,391,11,6,0,11,5,2723154000,5437469000,-1108465000,0,0
74,1255,5255,1252,8,5,2,3,923,63,2809,238,8,6,0,8,2,2672622000,4439512000,-110508000,0,0
75,1255,5255,2145,8,4,1,3,971,111,3055,484,11,6,0,11,5,2580890000,4957188000,-628184000,0,0
76,1255,5255,5252,8,5,2,3,924,64,2812,241,8,6,0,8,2,2665726000,4405286000,-76282000,0,0
77,1255,1252,2145,7,6,4,3,964,104,3014,443,11,6,0,11,5,2632988000,5147403000,-818399000,0,0
78,1255,1252,5252,7,5,2,3,908,48,2736,165,7,6,0,7,1,2533247000,4224502000,104502000,0,0
79,1255,2145,5252,7,6,4,3,962,102,3006,435,11,6,0,11,5,2644401000,5186233000,-857229000,0,0
80,5255,1252,2145,7,6,4,3,962,102,3008,437,11,6,0,11,5,2644543000,5147403000,-818399000,0,0
81,5255,1252,5252,7,5,2,3,900,40,2711,140,6,6,0,6,0,2443681000,3649635000,679369000,0,1
82,5255,2145,5252,7,6,4,3,960,100,3000,429,11,6,0,11,5,2657173000,5186233000,-857229000,0,0
83,1252,2145,5252,6,3,0,2,954,94,2962,391,11,6,0,11,5,2709411000,5378973000,-1049969000,0,0
