observable_id,observable_code,value,scale_code
0,0,860,0
1,1,2571,0
2,2,6,0
3,3,4329004000,0
4,4,9,0
5,5,84,0
6,6,4,0
7,7,4,0
8,8,0,0
9,9,5255,0
10,10,1252,0
11,11,5252,0
12,12,900,0
13,13,2711,0
14,14,6,0
15,15,6,0
16,16,2443681000,0
17,17,3649635000,0
18,18,679369000,0
19,19,2,0
20,20,984,0
