orbit_id,size,representative,member_a,member_b,fixed,nonzero
81,2,178,178,195,False,True
82,2,180,180,705,False,True
83,2,183,183,723,False,True
84,2,185,185,1243,False,True
85,2,186,186,1225,False,True
86,2,188,188,1739,False,True
87,2,191,191,1753,False,True
88,2,197,197,688,False,True
89,2,198,198,674,False,True
90,2,200,200,1194,False,True
91,2,203,203,1208,False,True
92,2,205,205,1722,False,True
93,2,206,206,1704,False,True
94,2,212,212,673,False,True
95,2,215,215,691,False,True
96,2,217,217,1211,False,True
97,2,218,218,1193,False,True
98,2,220,220,1707,False,True
99,2,223,223,1721,False,True
100,2,225,225,240,False,True
101,1,226,226,226,True,True
102,2,228,228,736,False,True
103,2,231,231,754,False,True
104,2,233,233,1274,False,True
105,2,234,234,1256,False,True
106,2,236,236,1770,False,True
107,2,239,239,1784,False,True
108,1,243,243,243,True,True
109,2,245,245,753,False,True
110,2,246,246,739,False,True
111,2,248,248,1259,False,True
112,2,251,251,1273,False,True
113,2,253,253,1787,False,True
114,2,254,254,1769,False,True
115,2,257,257,272,False,True
116,1,258,258,258,True,True
117,2,260,260,768,False,True
118,2,263,263,786,False,True
119,2,265,265,1306,False,True
120,2,266,266,1288,False,True
121,2,268,268,1802,False,True
122,2,271,271,1816,False,True
123,1,275,275,275,True,True
124,2,277,277,785,False,True
125,2,278,278,771,False,True
126,2,280,280,1291,False,True
127,2,283,283,1305,False,True
128,2,285,285,1819,False,True
129,2,286,286,1801,False,True
130,2,288,288,320,False,True
131,2,291,291,338,False,True
132,2,293,293,848,False,True
133,2,294,294,834,False,True
134,2,296,296,1354,False,True
135,2,299,299,1368,False,True
136,2,301,301,1882,False,True
137,2,302,302,1864,False,True
138,2,305,305,337,False,True
139,2,306,306,323,False,True
140,2,308,308,833,False,True
141,2,311,311,851,False,True
142,2,313,313,1371,False,True
143,2,314,314,1353,False,True
144,2,316,316,1867,False,True
145,2,319,319,1881,False,True
146,2,325,325,816,False,True
147,2,326,326,802,False,True
148,2,328,328,1322,False,True
149,2,331,331,1336,False,True
150,2,333,333,1850,False,True
151,2,334,334,1832,False,True
152,2,340,340,801,False,True
153,2,343,343,819,False,True
154,2,345,345,1339,False,True
155,2,346,346,1321,False,True
156,2,348,348,1835,False,True
157,2,351,351,1849,False,True
158,2,353,353,368,False,True
159,1,354,354,354,True,True
160,2,356,356,864,False,True
161,2,359,359,882,False,True
162,2,361,361,1402,False,True
