index,label,F,K,scale,gap_to_candidate,codeword_abs_corr
0,all_ones,1.4448548592664323,1.202021155914667,3.3610958543805296,-8.881784197001252e-16,1.0000000000000002
1,prefix_indicator_1,1.0000000876811495,1.0000000438405738,0.00022026309819734585,0.44485477158528197,0.20412414523193154
2,prefix_indicator_2,1.000000095293441,1.0000000476467192,0.0001962746377354354,0.4448547639729905,0.2886751345948129
3,prefix_indicator_3,0.9999999997294239,0.9999999998647119,0.0005043385055274832,0.44485485953700754,0.3535533905932738
4,prefix_indicator_4,1.0000000310917145,1.000000015545857,0.000326859258784983,0.4448548281747169,0.4082482904638631
5,prefix_indicator_5,1.0000000058851324,1.0000000029425662,0.0005144702692724346,0.44485485338129904,0.45643546458763845
6,prefix_indicator_6,1.0000000234938682,1.000000011746934,0.0003905392936021141,0.44485483577256324,0.5000000000000001
7,prefix_indicator_7,1.0000002716648961,1.0000001358324389,0.0001249458917594173,0.4448545876015353,0.5400617248673216
8,prefix_indicator_8,1.0000000975737053,1.0000000487868514,0.00019625539549726514,0.4448547616927261,0.5773502691896258
9,prefix_indicator_12,1.000000031517658,1.000000015758829,0.0003171307855808282,0.4448548277487734,0.7071067811865476
10,prefix_indicator_16,1.0624472547803268,1.0307508208972365,3.5382841274632417,0.38240760448610467,0.8164965809277261
11,prefix_indicator_20,1.208287538139412,1.099221332643891,3.6104241897516056,0.2365673211270194,0.9128709291752769
12,prefix_indicator_23,1.38527526011859,1.1769771706021277,3.424226575283918,0.05957959914784139,0.9789450103725611
13,prefix_indicator_24,1.4448548592664323,1.202021155914667,3.3610958543805296,-8.881784197001252e-16,1.0000000000000002
14,codeword_sign_w8_0,1.4448548592664323,1.202021155914667,3.3610958543805296,-8.881784197001252e-16,1.0000000000000002
15,codeword_sign_w8_1,1.4448548592664323,1.202021155914667,3.3610958543805296,-8.881784197001252e-16,1.0000000000000002
16,codeword_sign_w8_2,1.4448548592664323,1.202021155914667,3.3610958543805296,-8.881784197001252e-16,1.0000000000000002
17,codeword_sign_w8_3,1.4448548592664323,1.202021155914667,3.3610958543805296,-8.881784197001252e-16,1.0000000000000002
18,codeword_sign_w12_0,1.4448548592664319,1.202021155914667,3.361095907673391,-4.440892098500626e-16,1.0000000000000002
19,codeword_sign_w12_1,1.4448548592664319,1.202021155914667,3.361095907673391,-4.440892098500626e-16,1.0000000000000002
20,codeword_sign_w12_2,1.4448548592664319,1.202021155914667,3.361095907673391,-4.440892098500626e-16,1.0000000000000002
21,codeword_sign_w12_3,1.4448548592664319,1.202021155914667,3.361095907673391,-4.440892098500626e-16,1.0000000000000002
22,codeword_sign_w16_0,1.4448548592664323,1.202021155914667,3.3610958543805296,-8.881784197001252e-16,1.0000000000000002
23,codeword_sign_w16_1,1.4448548592664319,1.202021155914667,3.361095854349693,-4.440892098500626e-16,1.0000000000000002
24,codeword_sign_w16_2,1.4448548592664319,1.202021155914667,3.361095854349693,-4.440892098500626e-16,1.0000000000000002
25,codeword_sign_w16_3,1.4448548592664319,1.202021155914667,3.361095854349693,-4.440892098500626e-16,1.0000000000000002
26,codeword_sign_w24_0,1.4448548592664319,1.202021155914667,3.361095854349693,-4.440892098500626e-16,1.0000000000000002
27,random_normal,1.0000000069882782,1.000000003494139,0.0005677422618235818,0.44485485227815325,0.7061026917893934
28,random_sign,1.0000000091690138,1.0000000045845068,0.0006058928155414428,0.44485485009741765,0.6666666666666667
29,random_sparse_10,1.0000000268194045,1.0000000134097022,0.00035946423225521564,0.44485483244702695,0.5813312981577963
30,random_three_level,1.0000000057899496,1.0000000028949747,0.0006397686928390903,0.4448548534764818,0.6953910357737599
31,sorted_normal,1.016773643248412,1.0083519441387576,3.720679233027182,0.4280812160180194,0.8327041369123391
32,random_normal,1.0000000090375973,1.0000000045187987,0.0004915413801176682,0.4448548502288341,0.654349261013178
33,random_sign,1.0000000091690138,1.0000000045845068,0.0006058928155414428,0.44485485009741765,0.6666666666666667
34,random_sparse_14,1.000000007682688,1.000000003841344,0.0005541321989918621,0.4448548515837434,0.6076223979711459
35,random_three_level,1.0000000114283505,1.0000000057141751,0.0005303253057379408,0.44485484783808094,0.6616402037412542
36,sorted_normal,1.0000000533631368,1.000000026681568,0.00020207559918149505,0.4448548059032946,0.7544015168151728
37,random_normal,1.0000001115833606,1.0000000557916786,0.00019425245923450961,0.4448547476830709,0.7046621021522195
38,random_sign,1.0000000199032566,1.0000000099516282,0.00046815106263766994,0.4448548393631748,0.7500000000000001
39,random_sparse_20,1.000000029870201,1.0000000149351003,0.0003375031578284265,0.44485482939623044,0.6787601583533659
40,random_three_level,1.000000317837868,1.0000001589189214,0.00010619092304472124,0.4448545414285634,0.7918231956144239
41,sorted_normal,0.9830489771372922,0.9914882637415796,3.578777017006643,0.4618058821291392,0.8130909037535786
42,random_normal,1.0000055155819103,1.0000027577871524,2.9332490618194254e-05,0.4448493436845211,0.6800917494488571
43,random_sign,1.0000000199032566,1.0000000099516282,0.00046815106263766994,0.4448548393631748,0.7500000000000001
44,random_sparse_24,1.000000064659705,1.000000032329852,0.00025969913891009605,0.4448547946067265,0.7375996597519324
45,random_three_level,1.3377315652712278,1.1566034606861713,3.477500754406231,0.1071232939952036,0.9618181683821329
46,sorted_normal,1.0000000088574819,1.000000004428741,0.0005370526090829624,0.44485485040894956,0.7674396363550179
47,random_normal,1.0000008613999505,1.0000004306998824,7.16738543313477e-05,0.44485399786648094,0.6268950076775234
48,random_sign,1.0000000091690138,1.0000000045845068,0.0006058928155414428,0.44485485009741765,0.6666666666666667
49,random_sparse_19,1.0000000865764798,1.000000043288239,0.00020158677716475108,0.44485477268995166,0.6075756019504951
50,random_three_level,1.000001551160738,1.0000007755800682,5.504174058378937e-05,0.44485330810569335,0.7145695808054197
51,sorted_normal,1.000000019030439,1.0000000095152195,0.0003799498173623336,0.4448548402359924,0.7116904058605229
52,random_normal,1.0000001118694293,1.000000055934713,0.00019619793739989865,0.44485474739700215,0.6209479142994309
53,random_sign,1.0000000091690138,1.0000000045845068,0.0006058928155414428,0.44485485009741765,0.6666666666666667
54,random_sparse_17,1.000015633955778,1.0000078169473368,1.7299695780382086e-05,0.44483922531065345,0.6326091159266962
55,random_three_level,1.0000002775711734,1.000000138785577,0.0001228432326212243,0.44485458169525804,0.6572284907272715
56,sorted_normal,1.0000409634180916,1.0000204814993,1.0922235970413109e-05,0.44481389584833986,0.7329737523312267
57,random_normal,1.000000040925652,1.0000000204628259,0.00029699699610691494,0.44485481834077945,0.7068779477880236
58,random_sign,1.0000000199032566,1.0000000099516282,0.00046815106263766994,0.4448548393631748,0.7500000000000001
59,random_sparse_1,1.0000000876811495,1.0000000438405738,0.00022026309819734585,0.44485477158528197,0.20412414523193154
60,random_three_level,1.0000000679414573,1.000000033970728,0.00024758941380232405,0.4448547913249741,0.6752863380318794
61,sorted_normal,1.0000000997218286,1.000000049860913,0.00019313359971959024,0.44485475954460285,0.7814490305112939
62,random_normal,1.0000000365008415,1.0000000182504205,0.0003571614347474464,0.44485482276558996,0.7165708055132765
63,random_sign,1.0000000091690138,1.0000000045845068,0.0006058928155414428,0.44485485009741765,0.6666666666666667
64,random_sparse_4,1.000000085719327,1.0000000428596625,0.00022032300295323333,0.44485477354710445,0.31467361492535423
65,random_three_level,1.0000000029420144,1.000000001471007,0.0006900879322825371,0.444854856324417,0.6481190065224486
66,sorted_normal,0.9834170278351407,0.9916738515435106,3.7356294474603335,0.4614378314312907,0.8183562292828106
