sample,logM_direct,logM_macwilliams,abs_err,residual_candidate
0,0.0,0.0,0.0,0.0
1,8.16123763052183,8.161237630521793,3.730349362740526e-14,0.0
2,3.6799073327059375,3.6799073327059357,1.7763568394002505e-15,2.3504694263835857
3,3.4191068211426163,3.419106821142609,7.105427357601002e-15,2.5747927948311675
4,3.4680087283975993,3.468008728397598,1.3322676295501878e-15,2.215647129600165
5,3.548147021145658,3.5481470211456574,4.440892098500626e-16,2.508853255850851
6,3.7304061918481626,3.7304061918481595,3.1086244689504383e-15,2.4148147895917305
7,3.809923361649414,3.809923361649404,9.769962616701378e-15,2.570225246720317
8,2.72920172641485,2.7292017264148463,3.552713678800501e-15,1.7909739334891288
9,3.9564093797341737,3.956409379734168,5.773159728050814e-15,2.4706114991969006
10,4.170637256192611,4.170637256192611,0.0,3.19352374580831
11,4.769954727286253,4.769954727286256,3.552713678800501e-15,3.54115268304208
