boundary_partition_code,partition_order,mask_edge_count,signature_cut_edge_count,undirected_stationary_flux_x1e12,flux_fraction_of_total_cut_x1e12,positive_to_negative_probability_contribution_x1e12,negative_to_positive_probability_contribution_x1e12,positive_exit_share_x1e12,negative_exit_share_x1e12,positive_entropy_contribution_x1e12,negative_entropy_contribution_x1e12,refined_entropy_contribution_x1e12
4,0,2,198,3712054656,15534049950,2964392679,4964061550,15534049950,15534049950,10804089307,9847210549,20651299856
5,1,14,3809,235250396733,984465950050,187867533884,314595973738,984465950050,984465950050,196671469096,136029552826,332701021922
