event_id,source_state_id,target_state_id,source_nodal_sign,target_nodal_sign,event_role_code,boundary_partition_code,transition_probability_x1e12,stationary_flow_twice_x1e12,is_crossing
0,0,0,1,1,0,-1,809168073437,1013251765029,0
1,0,1,1,-1,4,4,2964392679,3712054656,1
2,0,1,1,-1,5,5,187867533884,235250396733,1
3,1,0,-1,1,4,4,4964061550,3712054656,1
4,1,0,-1,1,5,5,314595973738,235250396733,1
5,1,1,-1,-1,0,-1,680439964712,508823332193,0
