term_id,source_state_id,event_role_code,boundary_partition_code,probability_x1e12,stationary_mass_x1e12,weighted_entropy_contribution_x1e12
0,0,0,-1,809168073437,626107108209,107277336010
1,0,4,4,2964392679,626107108209,10804089307
2,0,5,5,187867533884,626107108209,196671469096
3,1,4,4,4964061550,373892891791,9847210549
4,1,5,5,314595973738,373892891791,136029552826
5,1,0,-1,680439964712,373892891791,97952481411
