shell,profile_id,first_size,second_size,rest_size,scale_max_abs_gap_coeff,nnls_linf_residual,nnls_l2_residual,nnls_reported_resnorm,nnls_nonzero_coefficients,max_scaled_coefficient,status
16,0,0,0,24,1.0,0.0,0.0,0.0,0,0.0,PASS_NUMERICAL
16,1,0,1,23,55698108973056.0,2.220446049250313e-16,2.2837811044235333e-16,5.0007951399773437e-17,13,0.5671464242535093,PASS_NUMERICAL
16,2,0,2,22,38746510589952.0,2.220446049250313e-16,2.5068148054910383e-16,4.7019206729267626e-18,15,0.8562058445302985,PASS_NUMERICAL
16,3,0,3,21,26395968657303.0,9.992007221626409e-16,1.4990201861269304e-15,1.7046627577635066e-17,15,1.3405121300020664,PASS_NUMERICAL
16,4,0,4,20,35224100536320.0,8.881784197001252e-16,1.3444451615567705e-15,6.143131236885234e-17,15,1.340587664457232,PASS_NUMERICAL
16,5,0,5,19,30821087969280.0,8.881784197001252e-16,1.2467108566915745e-15,6.28658922205078e-17,15,1.5530679149749416,PASS_NUMERICAL
16,6,0,6,18,21794912206848.0,1.3877787807814457e-15,2.207206564136887e-15,4.77749620618951e-16,15,2.127272172407668,PASS_NUMERICAL
16,7,0,6,18,21134460321792.0,1.7763568394002505e-15,2.425641760139626e-15,8.177870537588454e-17,15,2.2145827611287405,PASS_NUMERICAL
16,8,0,7,17,29390108884992.0,1.4988010832439613e-15,2.6425865388887826e-15,1.9533807026956483e-16,15,1.873360669893752,PASS_NUMERICAL
16,9,0,7,17,36985305563136.0,1.0269562977782698e-15,1.7421698893539772e-15,4.176336592555891e-16,15,1.5452002942310452,PASS_NUMERICAL
16,10,0,8,16,28179280429056.0,1.3322676295501878e-15,2.744690844220033e-15,1.4627559107903882e-16,15,1.9717185356652935,PASS_NUMERICAL
16,11,0,8,16,25427397574656.0,1.4432899320127037e-15,2.2133548634579768e-15,3.0596589317822654e-16,15,2.150475952945083,PASS_NUMERICAL
16,12,0,8,16,26494579507200.0,1.3322676295501878e-15,1.762581058811359e-15,2.8934986749753943e-16,15,2.077898936170208,PASS_NUMERICAL
16,13,0,9,15,19813556551680.0,1.2490009027033013e-15,2.1503226601634383e-15,1.60958347352534e-16,15,2.6533051550388302,PASS_NUMERICAL
16,14,0,9,15,20804234379264.0,2.664535259100376e-15,3.9919455836171526e-15,3.2904461241488894e-16,15,2.5163752799311627,PASS_NUMERICAL
16,15,0,9,15,30821087969280.0,1.1379786002407857e-15,2.164831002589281e-15,5.546546004156867e-16,15,1.757080312498978,PASS_NUMERICAL
16,16,0,10,14,26418075402240.0,1.1657341758564144e-15,1.9690962153740545e-15,5.672015550817488e-16,15,2.215668184599883,PASS_NUMERICAL
16,17,0,10,14,27518828544000.0,1.3322676295501878e-15,2.4301566121277017e-15,1.732254441035901e-16,15,2.135041457215889,PASS_NUMERICAL
16,18,0,10,14,24656870375424.0,1.4779844015322396e-15,2.681134665748104e-15,1.424554187406949e-16,15,2.34268019778559,PASS_NUMERICAL
16,19,0,11,13,36324853678080.0,8.916478666520788e-16,1.4638074902579696e-15,1.0387384305366332e-16,15,1.6995513905377435,PASS_NUMERICAL
16,20,0,11,13,26968451973120.0,9.8879238130678e-16,1.7662765143044266e-15,6.38783799165851e-16,15,2.183069219907982,PASS_NUMERICAL
16,21,0,11,13,25317322260480.0,1.141448047192739e-15,1.7189273883201428e-15,1.631473485583544e-16,15,2.2993563429454578,PASS_NUMERICAL
16,22,0,12,12,31642353008640.0,7.424616477180734e-16,1.4437398922103217e-15,1.1059275315415644e-15,15,1.9695067264573964,PASS_NUMERICAL
16,23,0,12,12,18162426839040.0,1.672273430841642e-15,2.9941513386809205e-15,1.435294893847872e-16,15,3.031249999999996,PASS_NUMERICAL
16,24,0,12,12,19813556551680.0,1.7763568394002505e-15,2.9355052612940067e-15,3.4137757576303624e-16,15,2.7453124999999985,PASS_NUMERICAL
16,25,0,12,12,20253857808384.0,1.1449174941446929e-15,2.8595521933642158e-15,5.128062949385473e-16,15,2.663892663043474,PASS_NUMERICAL
16,26,0,12,12,21134460321792.0,1.2611439670351388e-15,2.4378376112886664e-15,2.6112186707410583e-16,15,2.5112304687499982,PASS_NUMERICAL
16,27,0,13,11,36324853678080.0,7.138387103644561e-16,1.0584195115042957e-15,1.7662003075418124e-16,15,1.6995513905377435,PASS_NUMERICAL
16,28,0,13,11,26968451973120.0,1.304512053934559e-15,1.847768812979889e-15,2.560917013303802e-16,15,2.183069219907979,PASS_NUMERICAL
16,29,0,13,11,25317322260480.0,1.7763568394002505e-15,3.1251802492090947e-15,4.007472802037278e-16,15,2.2993563429454578,PASS_NUMERICAL
16,30,0,14,10,26418075402240.0,1.0191500421363742e-15,1.7794411243964604e-15,6.137693633270497e-16,15,2.215668184599881,PASS_NUMERICAL
16,31,0,14,10,27518828544000.0,1.1032841307212493e-15,2.095175333771215e-15,1.1426495601983346e-16,15,2.135041457215888,PASS_NUMERICAL
16,32,0,14,10,24656870375424.0,1.3600232051658168e-15,2.771302458339526e-15,3.5581212675198604e-16,15,2.342680197785589,PASS_NUMERICAL
16,33,0,15,9,19813556551680.0,1.7763568394002505e-15,3.049345565750826e-15,8.450819512860405e-17,15,2.653305155038834,PASS_NUMERICAL
16,34,0,15,9,20804234379264.0,1.3296655443362226e-15,2.3258619106521307e-15,1.0193268168844171e-16,15,2.516375279931162,PASS_NUMERICAL
16,35,0,15,9,30821087969280.0,1.3006089261136113e-15,2.2153742669163025e-15,3.3855168728363965e-17,15,1.757080312498978,PASS_NUMERICAL
16,36,0,16,8,28179280429056.0,1.2374541495663305e-15,1.8843830746772588e-15,1.356867502019979e-16,15,1.9717185356652924,PASS_NUMERICAL
16,37,0,16,8,25427397574656.0,9.148497931432686e-16,2.002667691773257e-15,5.523242227916631e-16,15,2.150475952945085,PASS_NUMERICAL
16,38,0,16,8,26494579507200.0,1.2452061950996018e-15,2.027874484410681e-15,4.667412184194437e-16,15,2.07789893617021,PASS_NUMERICAL
16,39,0,17,7,29390108884992.0,1.01554506991286e-15,1.6916019030835036e-15,1.1347578619445536e-16,15,1.873360669893753,PASS_NUMERICAL
16,40,0,17,7,36985305563136.0,8.881784197001252e-16,1.6002133215264857e-15,1.724769023826623e-16,15,1.5452002942310474,PASS_NUMERICAL
16,41,0,18,6,21794912206848.0,1.0674580251841814e-15,1.801657085215927e-15,4.0167790034235004e-16,15,2.1272721724076686,PASS_NUMERICAL
16,42,0,18,6,21134460321792.0,1.1338044218767165e-15,2.268038671225905e-15,1.0345568137684882e-16,15,2.2145827611287427,PASS_NUMERICAL
16,43,0,19,5,30821087969280.0,6.131502098584429e-16,1.1066248792645197e-15,2.824999338886193e-16,15,1.553067914974943,PASS_NUMERICAL
16,44,0,20,4,35224100536320.0,7.542851688705594e-16,1.1621846741263634e-15,9.060045062054451e-17,15,1.3405876644572323,PASS_NUMERICAL
16,45,0,21,3,26395968657303.0,1.1102230246251563e-15,1.745803300157739e-15,4.400045304197505e-17,15,1.3405121300020646,PASS_NUMERICAL
16,46,0,22,2,38746510589952.0,4.887581466233827e-16,8.419588642339437e-16,3.019830398618196e-16,15,0.8562058445302984,PASS_NUMERICAL
16,47,0,23,1,55698108973056.0,2.432750539726053e-16,3.844788581851692e-16,1.359182503856471e-16,13,0.5671464242535091,PASS_NUMERICAL
16,48,0,24,0,1.0,0.0,0.0,0.0,0,0.0,PASS_NUMERICAL
16,49,1,0,23,55698108973056.0,2.220446049250313e-16,2.82296055095343e-16,5.945157926128042e-17,13,0.5671464242535091,PASS_NUMERICAL
16,50,1,1,22,36324853678080.0,3.3306690738754696e-16,5.852672720200871e-16,1.6694327351673147e-16,121,0.5870219217172595,PASS_NUMERICAL
16,51,1,2,21,26418075402240.0,7.771561172376097e-16,1.1692692997249809e-15,5.4964619630688676e-17,131,0.7993305940283704,PASS_NUMERICAL
16,52,1,3,20,26418075402240.0,5.551115123125784e-16,1.171563028846432e-15,7.33785121689601e-17,132,0.9924606743834168,PASS_NUMERICAL
16,53,1,4,19,22895665348608.0,1.6653345369377348e-15,2.5638049437070872e-15,2.839235918462541e-16,125,1.1998153586200957,PASS_NUMERICAL
16,54,1,5,18,20914309693440.0,1.054711873393899e-15,1.869642415480484e-15,2.7722914668249844e-16,122,1.5237781108843604,PASS_NUMERICAL
16,55,1,5,18,22015062835200.0,8.881784197001252e-16,1.6190655258642185e-15,9.899870385412564e-17,123,1.4247873191175544,PASS_NUMERICAL
16,56,1,6,17,21464686264320.0,1.3322676295501878e-15,2.1940254014318065e-15,3.910728824693514e-16,127,1.7765145877370534,PASS_NUMERICAL
16,57,1,6,17,20914309693440.0,1.2212453270876722e-15,2.1692317953700468e-15,5.060060270777443e-16,116,1.6464757037574884,PASS_NUMERICAL
16,58,1,6,17,26418075402240.0,8.881784197001252e-16,1.786638636377728e-15,6.214530120489172e-17,115,1.3779396561102577,PASS_NUMERICAL
16,59,1,7,16,18822878724096.0,8.326672684688674e-16,1.797250005412614e-15,4.100774681617363e-16,118,1.9393865899878644,PASS_NUMERICAL
16,60,1,7,16,23115815976960.0,1.27675647831893e-15,2.008949214418849e-15,1.8609523402082707e-16,119,1.6116414999081925,PASS_NUMERICAL
16,61,1,7,16,20474008436736.0,8.881784197001252e-16,1.9132408969154345e-15,1.9092744221768906e-16,127,1.725835326988143,PASS_NUMERICAL
16,62,1,7,16,36985305563136.0,1.2212453270876722e-15,1.828712816539329e-15,2.8810155704999233e-16,125,1.0964396028108965,PASS_NUMERICAL
16,63,1,8,15,19373255294976.0,2.275957200481571e-15,3.3695568383746026e-15,1.2156279921817806e-16,127,2.001364910575592,PASS_NUMERICAL
16,64,1,8,15,17722125582336.0,9.43689570931383e-16,2.365002343063795e-15,1.0273945459887199e-16,120,2.159330655581287,PASS_NUMERICAL
16,65,1,8,15,19373255294976.0,2.720046410331633e-15,3.446788804338967e-15,8.883089779236792e-17,107,2.000816855918272,PASS_NUMERICAL
16,66,1,8,15,30821087969280.0,4.85722573273506e-16,1.1714436783622113e-15,2.4622898292318196e-16,122,1.4468752252663095,PASS_NUMERICAL
16,67,1,8,15,23115815976960.0,1.9984014443252818e-15,2.986779544258037e-15,3.0288648312994475e-16,121,1.8822975924372445,PASS_NUMERICAL
16,68,1,9,14,18492652781568.0,1.2212453270876722e-15,2.675739187759838e-15,3.9043149944814973e-16,124,2.262286846019395,PASS_NUMERICAL
16,69,1,9,14,19043029352448.0,1.7763568394002505e-15,3.3761826558554813e-15,5.542434927362213e-16,112,1.936119592462488,PASS_NUMERICAL
16,70,1,9,14,19593405923328.0,1.6653345369377348e-15,2.705047723184606e-15,4.893837254708021e-16,124,2.23815416139184,PASS_NUMERICAL
16,71,1,9,14,18492652781568.0,2.664535259100376e-15,3.988912563237444e-15,1.9191922295584395e-16,117,2.4002028424552404,PASS_NUMERICAL
16,72,1,9,14,18492652781568.0,1.942890293094024e-15,3.5322959319886558e-15,6.478510633123809e-16,124,2.176051865668919,PASS_NUMERICAL
16,73,1,10,13,23115815976960.0,1.5543122344752194e-15,2.4373519991649017e-15,2.899298858170465e-16,125,2.125891485431533,PASS_NUMERICAL
16,74,1,10,13,17612050268160.0,8.881784197001252e-16,2.579877656226258e-15,3.878034610369527e-16,112,2.170944310409856,PASS_NUMERICAL
16,75,1,10,13,18162426839040.0,8.326672684688674e-16,2.3980891862441453e-15,9.880089345697272e-17,116,2.0366283976024637,PASS_NUMERICAL
16,76,1,10,13,16511297126400.0,2.0816681711721685e-15,3.872431746633349e-15,2.6107466095379853e-16,118,2.425526768346637,PASS_NUMERICAL
16,77,1,10,13,18162426839040.0,1.3322676295501878e-15,3.058886019787244e-15,3.7465297603377376e-16,116,2.0696044758127163,PASS_NUMERICAL
16,78,1,11,12,36324853678080.0,5.551115123125784e-16,1.457111355352776e-15,1.4339945092860234e-16,126,1.1583647121303575,PASS_NUMERICAL
16,79,1,11,12,19813556551680.0,7.702172233337022e-16,1.7457283705022673e-15,2.769871275182723e-16,119,2.2147306770339146,PASS_NUMERICAL
16,80,1,11,12,18712803409920.0,2.1649348980190556e-15,2.7244597589295826e-15,1.733791771852169e-16,125,2.317331994348422,PASS_NUMERICAL
16,81,1,11,12,17612050268160.0,1.3322676295501878e-15,3.15578899559225e-15,1.2277768098555326e-16,127,2.416273865360795,PASS_NUMERICAL
16,82,1,11,12,18162426839040.0,1.3322676295501878e-15,2.8468357434884967e-15,9.464257269777831e-17,118,2.370724583340532,PASS_NUMERICAL
16,83,1,11,12,24216569118720.0,1.054711873393899e-15,2.4041589241782635e-15,4.4051670747007383e-16,130,1.482719493469148,PASS_NUMERICAL
16,84,1,11,12,16511297126400.0,1.6653345369377348e-15,3.913822159843145e-15,3.9964295155017354e-16,113,2.596350695104815,PASS_NUMERICAL
16,85,1,12,11,24216569118720.0,1.7763568394002505e-15,2.718847047271316e-15,1.8924905367155988e-16,114,1.564100335227527,PASS_NUMERICAL
16,86,1,12,11,18162426839040.0,1.3322676295501878e-15,2.697963994504045e-15,9.145970565890542e-16,127,2.375759385076022,PASS_NUMERICAL
16,87,1,12,11,18712803409920.0,2.1649348980190556e-15,3.65683389890249e-15,3.745049736438003e-16,120,2.329232962252709,PASS_NUMERICAL
16,88,1,12,11,19813556551680.0,1.2212453270876722e-15,2.249530990745075e-15,2.326995933569633e-16,122,2.2147306770339106,PASS_NUMERICAL
16,89,1,12,11,17612050268160.0,1.7763568394002505e-15,3.399525294523771e-15,7.17717403023507e-17,120,2.323647325881929,PASS_NUMERICAL
16,90,1,12,11,16511297126400.0,9.15933995315754e-16,2.6186720910974018e-15,2.1295348052008372e-17,121,2.588677909520678,PASS_NUMERICAL
16,91,1,12,11,36324853678080.0,1.054711873393899e-15,1.5839105588187749e-15,2.254531712610661e-16,126,1.128859429826804,PASS_NUMERICAL
16,92,1,13,10,18162426839040.0,9.43689570931383e-16,2.2498064535429017e-15,1.8501354002825192e-16,121,2.089006346337166,PASS_NUMERICAL
16,93,1,13,10,17612050268160.0,1.1102230246251563e-15,2.746175905138999e-15,1.6037374097705674e-16,128,2.1989074526103094,PASS_NUMERICAL
16,94,1,13,10,18162426839040.0,9.228728892196614e-16,2.5445816318742528e-15,1.8420019925772047e-16,118,2.069656455982428,PASS_NUMERICAL
16,95,1,13,10,16511297126400.0,1.1102230246251563e-15,2.6484932362086027e-15,1.2365229148447555e-16,121,2.326036764124604,PASS_NUMERICAL
16,96,1,13,10,23115815976960.0,9.992007221626409e-16,1.8687396623059762e-15,2.399200041443457e-17,120,2.1270002007027125,PASS_NUMERICAL
16,97,1,14,9,19593405923328.0,1.9984014443252818e-15,3.2374619301519658e-15,3.797800129946666e-16,126,2.2379046551090283,PASS_NUMERICAL
16,98,1,14,9,19043029352448.0,8.881784197001252e-16,1.9199471219533258e-15,2.6207525332225125e-16,122,1.9937668519907343,PASS_NUMERICAL
16,99,1,14,9,18492652781568.0,2.05391259555654e-15,3.0567456944528025e-15,3.522491146695054e-16,119,2.397363032854312,PASS_NUMERICAL
16,100,1,14,9,18492652781568.0,8.881784197001252e-16,1.9322533883357638e-15,2.576290513948817e-16,122,2.3535373530774994,PASS_NUMERICAL
16,101,1,14,9,18492652781568.0,3.1086244689504387e-15,4.3404557781135136e-15,3.485165737837631e-16,128,2.4011137713401016,PASS_NUMERICAL
16,102,1,15,8,19373255294976.0,7.771561172376097e-16,2.047658960653208e-15,7.343654034487845e-17,125,1.9920467230636785,PASS_NUMERICAL
16,103,1,15,8,19373255294976.0,8.049116928532385e-16,1.8577128183793912e-15,7.322924721991212e-17,129,2.010874334243356,PASS_NUMERICAL
16,104,1,15,8,17722125582336.0,3.275157922644212e-15,4.158417701279005e-15,2.68893791414027e-16,122,2.152751451741532,PASS_NUMERICAL
16,105,1,15,8,23115815976960.0,9.992007221626409e-16,2.019144102047497e-15,1.4307976312538183e-16,119,1.884297543081653,PASS_NUMERICAL
16,106,1,15,8,30821087969280.0,5.967448757360216e-16,1.0908989239692996e-15,4.5380485094680685e-17,123,1.4458262616272528,PASS_NUMERICAL
16,107,1,16,7,18822878724096.0,1.0044048925905713e-15,2.1216265962672813e-15,6.303951331232455e-16,123,1.9538304375527265,PASS_NUMERICAL
16,108,1,16,7,20474008436736.0,1.457167719820518e-15,2.491776595235296e-15,1.7438019379618882e-16,124,1.7537499349585828,PASS_NUMERICAL
16,109,1,16,7,36985305563136.0,1.3322676295501878e-15,2.5313766746949257e-15,3.963391865850993e-17,128,1.1768001898284608,PASS_NUMERICAL
16,110,1,16,7,23115815976960.0,1.304512053934559e-15,2.4853589938806758e-15,2.225423663132717e-16,127,1.809366655700127,PASS_NUMERICAL
16,111,1,17,6,20914309693440.0,1.2212453270876722e-15,2.3766399271968e-15,6.912462064968922e-17,132,1.81365255137442,PASS_NUMERICAL
16,112,1,17,6,26418075402240.0,6.661338147750939e-16,1.5959169633178404e-15,3.509329626166769e-17,126,1.3710795962213194,PASS_NUMERICAL
16,113,1,17,6,21464686264320.0,1.054711873393899e-15,2.1561669483356497e-15,1.706179372315048e-16,126,1.7836864961081451,PASS_NUMERICAL
16,114,1,18,5,22015062835200.0,5.620504062164855e-16,1.2561337535064186e-15,1.2354044712253156e-16,123,1.5077277064371186,PASS_NUMERICAL
16,115,1,18,5,20914309693440.0,1.6653345369377348e-15,2.4571577051730208e-15,2.423181057291965e-16,127,1.4857949459531286,PASS_NUMERICAL
16,116,1,19,4,22895665348608.0,1.5543122344752194e-15,2.113265818186025e-15,1.211006619065332e-16,127,1.1996387134131534,PASS_NUMERICAL
16,117,1,20,3,26418075402240.0,5.491971312281547e-16,1.1434949221314474e-15,1.0514560089160576e-16,122,1.0447984751233623,PASS_NUMERICAL
16,118,1,21,2,26418075402240.0,3.778885736247856e-16,7.737049664946941e-16,8.755054915010803e-17,129,0.7382818000859127,PASS_NUMERICAL
16,119,1,22,1,36324853678080.0,1.8388068845354155e-16,3.1294598510112183e-16,4.6975940824833035e-17,117,0.5828555608035315,PASS_NUMERICAL
16,120,1,23,0,55698108973056.0,2.220446049250313e-16,3.0130614625702763e-16,3.7216859787109077e-16,13,0.5671464242535093,PASS_NUMERICAL
16,121,2,0,22,38746510589952.0,2.220446049250313e-16,2.80496421974158e-16,1.6639189073231222e-17,15,0.8562058445302985,PASS_NUMERICAL
16,122,2,1,21,26418075402240.0,3.8857805861880484e-16,6.103046768993243e-16,2.616152770411298e-17,128,0.7382747454762743,PASS_NUMERICAL
16,123,2,2,20,18880023429120.0,1.054711873393899e-15,2.033721074749289e-15,2.1295626247147479e-16,128,1.225643217160552,PASS_NUMERICAL
16,124,2,3,19,18492652781568.0,9.992007221626409e-16,1.7380285406503945e-15,2.1572108002292882e-16,125,1.302221044760788,PASS_NUMERICAL
16,125,2,4,18,16731447754752.0,8.881784197001252e-16,2.417301549726378e-15,2.721648965113355e-16,124,1.2871441805994568,PASS_NUMERICAL
16,126,2,4,18,17612050268160.0,2.4424906541753444e-15,4.467222794497052e-15,2.0708446642950359e-16,122,1.2660749433727487,PASS_NUMERICAL
16,127,2,5,17,14309790842880.0,1.5543122344752194e-15,3.5303046177807818e-15,3.41727179654434e-16,132,1.7521449288630822,PASS_NUMERICAL
16,128,2,5,17,14089640214528.0,1.7763568394002505e-15,3.3370191479410297e-15,4.1050488467039254e-16,125,1.827498041955816,PASS_NUMERICAL
16,129,2,5,17,17612050268160.0,1.3322676295501878e-15,2.877834664587429e-15,6.243784280187357e-16,125,1.556816037857494,PASS_NUMERICAL
16,130,2,6,16,14970242727936.0,2.664535259100376e-15,3.5950178976068344e-15,3.1595000948191416e-16,119,1.9863968907178788,PASS_NUMERICAL
16,131,2,6,16,15850845241344.0,1.1379786002407857e-15,3.357062661256172e-15,2.991619339808032e-16,117,1.8760415079002188,PASS_NUMERICAL
16,132,2,6,16,14860167413760.0,1.2212453270876722e-15,3.1719137802913082e-15,4.000268149282464e-16,132,1.595725751440176,PASS_NUMERICAL
16,133,2,6,16,13209037701120.0,2.8310687127941488e-15,5.36970735399118e-15,6.383233290853265e-16,127,2.183233363878224,PASS_NUMERICAL
16,134,2,6,16,21134460321792.0,8.881784197001252e-16,1.8295534447850607e-15,1.6967058478504472e-16,118,1.4973656392329024,PASS_NUMERICAL
16,135,2,7,15,14529941471232.0,1.6653345369377348e-15,3.444338587752488e-15,2.33935176724253e-16,133,1.6279768795358078,PASS_NUMERICAL
16,136,2,7,15,14199715528704.0,1.3322676295501878e-15,3.495384178415617e-15,1.3571567309243556e-16,132,1.7173144049080382,PASS_NUMERICAL
16,137,2,7,15,14089640214528.0,1.5543122344752194e-15,3.83457789202531e-15,3.139778751199163e-16,130,1.6524927830785756,PASS_NUMERICAL
16,138,2,7,15,18492652781568.0,1.3322676295501878e-15,3.2500351621360893e-15,3.252194896592845e-16,129,1.3364975750677082,PASS_NUMERICAL
