shell,profiles,failures,worst_linf_residual,worst_l2_residual,max_nonzero_coefficients,median_nonzero_coefficients,max_scaled_coefficient
12,4612,0,3.552713678800501e-15,6.1955776019635805e-15,86,78.0,3.2188204384354995
16,4612,0,9.603429163007604e-15,1.1763942355346631e-14,144,130.0,4.163070812636744
