path_id,fiber_row_id,sample_count,sum_value,step_count,transition_count,zeta_left_transition_count,zeta_right_transition_count,zeta_both_transition_count,exact_left_transition_count,exact_right_transition_count,zeta_path_flag,exact_path_flag,long_tens_gap_flag,gap_zeta_witness_flag
0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
1,1,1,1,1,0,0,0,0,0,0,1,0,0,0
2,2,1,2,1,0,0,0,0,0,0,1,0,0,0
3,3,2,0,2,1,1,1,1,0,0,1,0,0,0
4,4,2,1,2,1,1,1,1,0,0,1,0,0,0
5,5,2,2,2,1,1,1,1,0,0,1,0,0,0
6,6,2,3,2,1,1,1,1,0,0,1,0,0,0
7,7,2,4,2,1,1,1,1,0,0,1,0,0,0
8,8,3,0,3,2,2,2,2,0,0,1,0,0,0
9,9,3,1,3,2,2,2,2,0,0,1,0,0,0
10,10,3,2,3,2,2,2,2,0,0,1,0,0,0
11,11,3,3,3,2,2,2,2,0,0,1,0,0,0
12,12,3,4,3,2,2,2,2,0,0,1,0,0,0
13,13,3,5,3,2,2,2,2,0,0,1,0,0,0
14,14,3,6,3,2,2,2,2,0,0,1,0,0,0
15,15,4,0,4,3,3,3,3,0,0,1,0,0,0
16,16,4,1,4,3,3,3,3,0,0,1,0,0,0
17,17,4,2,4,3,3,3,3,0,0,1,0,0,0
18,18,4,3,4,3,3,3,3,0,0,1,0,0,0
19,19,4,4,4,3,3,3,3,0,0,1,0,0,0
20,20,4,5,4,3,3,3,3,0,0,1,0,0,0
21,21,4,6,4,3,3,3,3,0,0,1,0,0,0
22,22,4,7,4,3,3,3,3,0,0,1,0,0,0
23,23,4,8,4,3,3,3,3,0,0,1,0,0,0
24,24,5,0,5,4,4,4,4,0,0,1,0,0,0
25,25,5,1,5,4,4,4,4,0,0,1,0,0,0
26,26,5,2,5,4,4,4,4,0,0,1,0,0,0
27,27,5,3,5,4,4,4,4,0,0,1,0,0,0
28,28,5,4,5,4,4,4,4,0,0,1,0,0,0
29,29,5,5,5,4,4,4,4,0,0,1,0,0,0
30,30,5,6,5,4,4,4,4,0,0,1,0,0,0
31,31,5,7,5,4,4,4,4,0,0,1,0,0,0
32,32,5,8,5,4,4,4,4,0,0,1,0,0,0
33,33,5,9,5,4,4,4,4,0,0,1,0,0,0
34,34,5,10,5,4,4,4,4,0,0,1,0,0,0
35,35,6,0,6,5,5,5,5,0,0,1,0,0,0
