pair_id,from_component_id,to_component_id,transition_count,left_margin_min,left_margin_max,right_margin_min,right_margin_max,zeta_both_count,exact_source_match_count
0,0,0,680,69,69,708,708,680,0
1,0,1,120,8,8,246,246,120,0
2,1,1,1240,53,53,291,291,1240,0
3,1,2,120,171,171,291,291,120,0
4,2,2,680,32,32,152,152,680,0
