basis_row_id,k23_basis_row_id,source_mask,source_weight,target_mask,target_weight
0,0,204095,12,4095,12
1,2,14945289,8,61833,8
2,1,255,8,8521759,8
3,3,3945,8,8456617,8
4,4,13071,8,4260911,8
5,5,21845,8,8652085,8
6,6,38451,8,2166035,8
7,7,333604,8,102180,8
8,8,591182,8,8913710,8
9,9,1119352,8,9441048,8
10,10,2164253,8,70429,8
11,11,4260666,8,76346,8
