decision_id,decision_code,pass_flag,certified_flag,obstruction_flag,value
0,0,1,1,0,1
1,1,1,1,0,19
2,2,1,0,1,0
3,3,1,0,1,0
4,4,1,0,1,0
5,5,1,0,1,0
