window_id,block_symbol_0_id,block_symbol_1_id,block_symbol_2_id,block_symbol_3_id,state_window_occurrence_count,stationary_mass_x1e12,cut_window_occurrence_count,cut_flux_x1e12,candidate_word_count,selected_move_flag
0,1,1,1,4,2,319391076,0,0,0,0
1,1,1,1,5,2,343112430,0,0,0,0
2,1,1,2,1,2,232353949,0,0,0,0
3,1,1,2,5,8,446019627,0,0,0,0
4,1,1,3,4,86,3478866029,0,0,0,0
5,1,1,4,3,7,170983578,0,0,0,0
6,1,1,4,4,3,183558090,0,0,0,0
7,1,1,4,5,57,4507846605,0,0,0,0
8,1,1,5,2,42,4387642357,0,0,0,0
9,1,1,5,4,1,32122666,0,0,0,0
10,1,1,5,5,28,2040566094,0,0,0,0
11,1,2,1,1,4,513962652,0,0,0,0
12,1,2,1,2,2,212927384,0,0,0,0
13,1,2,1,3,2,165967106,0,0,0,0
14,1,2,1,4,39,3032369488,0,0,0,0
15,1,2,1,5,8,671082240,0,0,0,0
16,1,2,2,1,4,388243355,0,0,0,0
17,1,2,2,5,4,139135233,0,0,0,0
18,1,2,5,1,74,6119391085,0,0,0,0
19,1,2,5,2,109,11319189441,2,42830222,4,0
20,1,2,5,4,195,20571457767,0,0,0,0
21,1,2,5,5,143,10291932308,3,64245333,7,0
22,1,3,2,1,2,62355762,0,0,0,0
23,1,3,4,1,54,3604214582,0,0,0,0
24,1,3,4,5,443,41042503025,0,0,0,0
25,1,4,3,1,183,19757777466,0,0,0,0
26,1,4,3,2,23,811471871,0,0,0,0
27,1,4,4,1,6,71389408,0,0,0,0
28,1,4,4,5,118,5571482342,0,0,0,0
29,1,4,5,1,40,1636139597,6,128490666,7,0
30,1,4,5,2,679,60068180660,0,0,0,0
31,1,4,5,5,49,3362289318,6,128490660,7,0
32,1,5,2,1,139,13246506635,0,0,0,0
33,1,5,2,2,7,772950519,0,0,0,0
34,1,5,2,5,15,1563081577,0,0,0,0
35,1,5,4,1,4,171779780,0,0,0,0
36,1,5,4,3,7,266975048,0,0,0,0
37,1,5,5,1,8,605000402,0,0,0,0
38,1,5,5,2,75,6233944879,0,0,0,0
