observable_id,observable_code,value,scale_code
0,0,144,0
1,1,32,0
2,2,32,0
3,3,124,0
4,4,4476,0
5,5,311592,0
6,6,316068,0
7,7,1175402,0
8,8,1491470,0
9,9,11213312,0
10,10,10515968,0
11,11,2601984,0
12,12,2447744,0
13,13,4213120,0
14,14,0,0
15,15,0,0
16,16,0,0
17,17,0,0
18,18,236,0
19,19,328,0
20,20,0,0
21,21,96125,0
22,22,2,0
23,23,16,0
24,24,28,0
25,25,44,0
26,26,122,0
27,27,12,0
28,28,12,0
29,29,12,0
30,30,12,0
31,31,26,0
32,32,4912640,0
33,33,72396,0
34,34,4912640,0
35,35,72396,0
36,36,4,0
37,37,7735158,0
38,38,1,0
39,39,1,0
40,40,1,0
41,41,1,0
