rank,p30_id,source_mask,p25_a,p25_b,p25_c,p25_d,p25_e,p24_a,p24_b,p24_c,p24_d,p24_e,lift_a,lift_b,lift_c,lift_d,lift_e,face_a,face_b,face_c,face_d,face_e,mask_a,mask_b,mask_c,mask_d,mask_e,same_lift_flag,same_face_flag,same_mask_flag,joint_p0_support,joint_p1_support,joint_p2_support,joint_p3_support,joint_p4_support,joint_support_min,joint_support_max,joint_support_spread,below_p29_floor_flag,below_p28_floor_flag,below_p27_floor_flag,below_p25_floor_flag,support_equal_flag,joint_mult_value
0,96125,4,2,16,28,44,122,1,8,14,22,61,0,0,0,0,2,12,12,12,12,26,30,30,30,30,51,0,0,0,147525696,144938592,143820032,143312576,144956032,143312576,147525696,4213120,0,0,1,1,0,2233073664
1,661247,4,12,34,36,38,116,6,17,18,19,58,0,0,0,0,2,12,12,12,12,26,30,30,30,30,51,0,0,0,144938592,147525696,143312576,143820032,144956032,143312576,147525696,4213120,0,0,1,1,0,2352218112
2,455858,4,8,38,86,110,133,4,19,43,55,66,0,0,1,2,2,12,12,22,26,26,30,30,45,51,51,0,0,0,627053568,623007936,627185088,623855936,627269536,623007936,627269536,4261600,0,0,1,1,0,4644274176
3,843623,4,16,30,64,125,128,8,15,32,62,64,0,0,1,2,2,12,12,22,26,26,30,30,45,51,51,0,0,0,623007936,627053568,623855936,627185088,627269536,623007936,627269536,4261600,0,0,1,1,0,3737124864
4,325764,4,6,30,64,104,125,3,15,32,52,62,0,0,1,2,2,12,12,22,26,26,30,30,45,51,51,0,0,0,625581632,629150336,624708160,626235136,628728288,624708160,629150336,4442176,0,0,1,1,0,3944742912
5,431100,4,8,22,86,126,133,4,11,43,63,66,0,0,1,2,2,12,12,22,26,26,30,30,45,51,51,0,0,0,629150336,625581632,626235136,624708160,628728288,624708160,629150336,4442176,0,0,1,1,0,4468506624
6,72395,4,2,4,12,28,122,1,2,6,14,61,0,0,0,0,2,12,12,12,12,26,30,30,30,30,51,0,0,0,145432640,145187680,149978112,148473728,147053760,145187680,149978112,4790432,0,0,1,1,0,2264924160
7,1274533,4,34,36,42,44,116,17,18,21,22,58,0,0,0,0,2,12,12,12,12,26,30,30,30,30,51,0,0,0,145187680,145432640,148473728,149978112,147053760,145187680,149978112,4790432,0,0,1,1,0,2376990720
8,72396,4,2,4,12,29,44,1,2,6,14,22,0,0,0,0,0,12,12,12,12,12,30,30,30,30,30,1,1,1,190110848,187818752,186543936,185198208,189706240,185198208,190110848,4912640,0,0,1,1,0,2855927808
9,661365,4,12,34,37,42,44,6,17,18,21,22,0,0,0,0,0,12,12,12,12,12,30,30,30,30,30,1,1,1,187818752,190110848,185198208,186543936,189706240,185198208,190110848,4912640,0,0,1,1,0,2448949248
10,583092,4,12,15,37,44,78,6,7,18,22,39,0,0,0,0,1,12,12,12,12,22,30,30,30,30,45,0,0,0,297052160,299676160,295764352,300866368,297507328,295764352,300866368,5102016,0,0,1,1,0,3273523200
11,646158,4,12,29,33,44,56,6,14,16,22,28,0,0,0,0,1,12,12,12,12,22,30,30,30,30,45,0,0,0,299676160,297052160,300866368,295764352,297507328,295764352,300866368,5102016,0,0,1,1,0,3507093504
12,414245,4,8,14,38,86,133,4,7,19,43,66,0,0,0,1,2,12,12,12,22,26,30,30,30,45,51,0,0,0,609963008,610896256,608906944,614193216,613255840,608906944,614193216,5286272,0,0,1,1,0,4493279232
13,843390,4,16,30,32,64,125,8,15,16,32,62,0,0,0,1,2,12,12,12,22,26,30,30,30,45,51,0,0,0,610896256,609963008,614193216,608906944,613255840,608906944,614193216,5286272,0,0,1,1,0,3623878656
14,619308,4,12,20,24,26,40,6,10,12,13,20,0,0,0,0,0,12,12,12,12,12,30,30,30,30,30,1,1,1,102525312,104012160,107292032,101931008,106766976,101931008,107292032,5361024,0,0,1,1,0,2063204352
15,923596,4,20,24,26,40,44,10,12,13,20,22,0,0,0,0,0,12,12,12,12,12,30,30,30,30,30,1,1,1,104012160,102525312,101931008,107292032,106766976,101931008,107292032,5361024,0,0,1,1,0,2087976960
16,79284,6,2,8,12,30,128,1,4,6,15,64,0,0,0,0,2,12,12,12,12,26,30,30,30,30,51,0,0,0,138646848,137138048,142707456,137105792,138947328,137105792,142707456,5601664,0,0,1,1,0,2264924160
17,438943,6,8,30,34,44,110,4,15,17,22,55,0,0,0,0,2,12,12,12,12,26,30,30,30,30,51,0,0,0,137138048,138646848,137105792,142707456,138947328,137105792,142707456,5601664,0,0,1,1,0,2270822400
18,128642,4,2,24,34,106,114,1,12,17,53,57,0,0,0,2,2,12,12,12,26,26,30,30,30,51,51,0,0,0,122053984,124332512,125972608,127746944,126898176,122053984,127746944,5692960,0,0,1,1,0,2397044736
19,147142,4,2,34,40,106,114,1,17,20,53,57,0,0,0,2,2,12,12,12,26,26,30,30,30,51,51,0,0,0,124332512,122053984,127746944,125972608,126898176,122053984,127746944,5692960,0,0,1,1,0,2535063552
20,562924,2,11,24,28,32,84,5,12,14,16,42,0,0,0,0,1,12,12,12,12,22,30,30,30,30,45,0,0,0,270049728,270377088,267893888,264537312,268951616,264537312,270377088,5839776,0,0,1,1,0,2505572352
21,711908,2,14,19,36,40,76,7,9,18,20,38,0,0,0,0,1,12,12,12,12,22,30,30,30,30,45,0,0,0,270377088,270049728,264537312,267893888,268951616,264537312,270377088,5839776,0,0,1,1,0,3050569728
22,567133,2,11,28,40,84,128,5,14,20,42,64,0,0,0,1,2,12,12,12,22,26,30,30,30,45,51,0,0,0,284439936,285189120,279330944,281041120,282965312,279330944,285189120,5858176,0,0,1,1,0,2756837376
23,907199,2,19,24,36,76,110,9,12,18,38,55,0,0,0,1,2,12,12,12,22,26,30,30,30,45,51,0,0,0,285189120,284439936,281041120,279330944,282965312,279330944,285189120,5858176,0,0,1,1,0,3063545856
24,580738,5,12,14,37,38,44,6,7,18,19,22,0,0,0,0,0,12,12,12,12,12,30,30,30,30,30,1,1,1,180864000,186823680,185761344,185275840,186372288,180864000,186823680,5959680,0,0,1,1,0,2562195456
25,595905,5,12,16,29,32,44,6,8,14,16,22,0,0,0,0,0,12,12,12,12,12,30,30,30,30,30,1,1,1,186823680,180864000,185275840,185761344,186372288,180864000,186823680,5959680,0,0,1,1,0,2629435392
26,83792,5,2,10,34,66,124,1,5,17,33,62,0,0,0,1,2,12,12,12,22,26,30,30,30,45,51,0,0,0,191500160,193991808,192551808,187936768,193865024,187936768,193991808,6055040,0,0,1,1,0,2491416576
