atom_id,kernel_value,q_pub_value,time_product,kernel_support_flag,q_pub_support_flag,support_intersection_flag
0,0,1,0,0,1,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,364340985,0,0,1,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,-1394657932,0,0,1,0,0
7,0,0,0,0,0,0
8,0,0,0,0,0,0
9,0,0,0,0,0,0
10,0,0,0,0,0,0
11,0,0,0,0,0,0
12,0,0,0,0,0,0
13,0,0,0,0,0,0
14,0,0,0,0,0,0
15,0,0,0,0,0,0
16,0,0,0,0,0,0
17,0,0,0,0,0,0
18,0,0,0,0,0,0
19,0,0,0,0,0,0
