observable,quotient,quotient_order,two_primary_component,two_primary_order,odd_primary_cofactor
Burning_static_fields,Z/2 x Z/4^2,32,Z/2 x Z/4^2,32,1
A985_frame_fields,Z/2 x Z/20 x Z/60,2400,Z/2 x Z/4^2,32,75
