shell,start,initial_ratio,final_ratio,final_cv,monotone_non_decreasing,last_step_hilbert,max_ratio_seen
12,0,1.0,1.0,0.0,True,0.0,1.0
12,1,0.5819763639099078,1.0,0.0,True,0.0,1.0000000000000018
12,2,0.5634497268077686,1.0,2.2662332591841973e-17,True,0.0,1.0000000000000027
12,3,0.598736905062929,1.0,0.0,True,0.0,1.0000000000000018
12,4,0.5405696303710811,1.0,0.0,True,0.0,1.0000000000000027
12,5,0.5896963505309133,1.0,0.0,True,0.0,1.0000000000000027
12,6,0.5326798135498214,1.0,0.0,True,0.0,1.0000000000000036
12,7,0.6580219322191024,1.0,0.0,True,0.0,1.0000000000000018
12,8,0.5825056359695427,1.0,0.0,True,0.0,1.0000000000000018
12,9,0.013074247589247417,1.0,0.0,True,0.0,1.0000000000000036
12,10,0.07916155864584293,1.0,0.0,True,0.0,1.0000000000000027
12,11,0.24860495886185593,1.0,0.0,True,0.0,1.0000000000000018
12,12,0.17907519266019725,1.0,0.0,True,0.0,1.0000000000000027
12,13,0.18275315227607591,1.0,0.0,True,0.0,1.0000000000000018
12,14,0.19074296674369373,1.0,2.2662332591841973e-17,True,0.0,1.0000000000000018
12,15,0.1090941982550542,1.0,0.0,True,0.0,1.0000000000000027
12,16,0.185061364268903,1.0,0.0,True,0.0,1.0000000000000018
12,17,0.0004825749833392048,1.0,0.0,True,0.0,1.0000000000000027
12,18,1.8234042577097726e-06,1.0,0.0,True,0.0,1.0000000000000027
12,19,0.007015280629619384,1.0,0.0,True,0.0,1.0000000000000018
12,20,0.001353712174182597,1.0,2.2662332591841973e-17,True,0.0,1.0000000000000027
12,21,0.0022330150087545237,1.0,0.0,True,0.0,1.0000000000000027
12,22,0.005730556206673039,1.0,2.2662332591841973e-17,True,0.0,1.0000000000000027
12,23,0.04226054892588543,1.0,0.0,True,0.0,1.0000000000000027
12,24,0.0006197673412356821,1.0,2.2662332591841973e-17,True,0.0,1.0000000000000027
12,25,0.0005085577815141814,1.0,0.0,True,0.0,1.0000000000000018
12,26,3.260979152207916e-10,1.0,0.0,True,0.0,1.0000000000000027
12,27,1.089585346451571e-06,1.0,0.0,True,0.0,1.0000000000000027
12,28,4.5223704684157525e-09,1.0,0.0,True,0.0,1.0000000000000027
12,29,1.6914401059484931e-09,1.0,0.0,True,0.0,1.0000000000000018
12,30,8.931452320530806e-13,1.0,0.0,True,0.0,1.0000000000000027
12,31,5.857634700544295e-09,1.0,0.0,True,0.0,1.0000000000000018
12,32,5.434769359635065e-08,1.0,0.0,True,0.0,1.0000000000000027
12,33,1.8223806344802083e-07,1.0,0.0,True,0.0,1.0000000000000018
12,34,2.565625522898803e-05,1.0,0.0,True,0.0,1.0000000000000018
12,35,8.536235141197644e-08,1.0,0.0,True,0.0,1.0000000000000027
12,36,3.22069589219721e-15,1.0,0.0,True,0.0,1.0000000000000018
12,37,5.815050450219561e-22,1.0,0.0,True,0.0,1.0000000000000027
12,38,1.28340719778574e-25,1.0,0.0,True,0.0,1.0000000000000027
12,39,1.2789431523979572e-09,1.0,0.0,True,0.0,1.0000000000000027
12,40,4.184749867104553e-16,1.0,0.0,True,0.0,1.0000000000000036
12,41,0.7399052764088574,1.0,0.0,True,0.0,1.0000000000000018
12,42,0.0003035284968180972,1.0,0.0,True,0.0,1.0000000000000018
12,43,9.518586178669132e-15,1.0,0.0,True,0.0,1.0000000000000027
12,44,0.5869746086956539,1.0,0.0,True,0.0,1.0000000000000027
