source_seed,target_seed,atom_id,source_local_rank,target_local_rank,rank_delta,source_chart_size,target_chart_size
0,2,1,2,13,11,13,14
0,2,2,6,1,-5,13,14
0,2,3,7,10,3,13,14
0,2,4,4,14,10,13,14
0,2,5,8,2,-6,13,14
0,2,7,9,7,-2,13,14
0,2,9,10,4,-6,13,14
0,2,11,5,12,7,13,14
0,2,12,3,3,0,13,14
0,2,15,11,5,-6,13,14
0,2,18,12,6,-6,13,14
0,2,19,13,8,-5,13,14
0,10,1,2,3,1,13,12
0,10,4,4,2,-2,13,12
0,10,7,9,9,0,13,12
0,10,11,5,4,-1,13,12
0,10,12,3,11,8,13,12
0,10,19,13,12,-1,13,12
2,0,1,13,2,-11,14,13
2,0,2,1,6,5,14,13
2,0,3,10,7,-3,14,13
2,0,4,14,4,-10,14,13
2,0,5,2,8,6,14,13
2,0,7,7,9,2,14,13
2,0,9,4,10,6,14,13
2,0,11,12,5,-7,14,13
2,0,12,3,3,0,14,13
2,0,15,5,11,6,14,13
2,0,18,6,12,6,14,13
2,0,19,8,13,5,14,13
2,10,1,13,3,-10,14,12
2,10,4,14,2,-12,14,12
2,10,7,7,9,2,14,12
2,10,8,9,10,1,14,12
2,10,11,12,4,-8,14,12
2,10,12,3,11,8,14,12
2,10,19,8,12,4,14,12
10,0,1,3,2,-1,12,13
10,0,4,2,4,2,12,13
10,0,7,9,9,0,12,13
10,0,11,4,5,1,12,13
10,0,12,11,3,-8,12,13
10,0,19,12,13,1,12,13
10,2,1,3,13,10,12,14
10,2,4,2,14,12,12,14
10,2,7,9,7,-2,12,14
10,2,8,10,9,-1,12,14
10,2,11,4,12,8,12,14
10,2,12,11,3,-8,12,14
10,2,19,12,8,-4,12,14
