row_id,side_code,component_code,multiplicity,factor_dimension,dimension,cumulative_dimension,certified_flag
0,0,0,1,20,20,20,1
1,0,1,1,15,15,35,1
2,0,2,1,15,15,50,1
3,0,3,1,6,6,56,1
4,1,4,1,1,1,1,1
5,1,5,2,1,2,3,1
6,1,6,2,15,30,33,1
7,2,7,1,23,23,23,1
8,3,8,1,23,23,23,1
