subwindow_id,index_mask,first_symbol_id,second_symbol_id,third_symbol_id,canonical_node_id,signature_union_count,endpoint_window_flag,skip_window_flag,repair_window_flag,neutral_window_flag
0,7,3,2,1,27,146,1,0,0,0
1,11,3,2,4,41,167,0,1,0,1
2,13,3,1,4,31,151,0,1,1,0
3,14,2,1,4,28,169,1,0,0,0
