split_id,inserted_node_id,index_mask,first_symbol_id,second_symbol_id,third_symbol_id,source_node_id,target_node_id,source_to_insert_edge_flag,insert_to_target_edge_flag,valid_rewrite_split_flag,repair_31_28_flag,repair_50_34_flag,direct_variation,split_variation,variation_preserving_flag,refined_trace_node_count,trace_node_0_id,trace_node_1_id,trace_node_2_id,trace_node_3_id,trace_node_4_id,trace_node_5_id,trace_node_6_id,trace_node_7_id,trace_node_8_id,trace_node_9_id,trace_node_10_id,trace_node_11_id,trace_node_12_id,trace_node_13_id,trace_node_14_id,trace_node_15_id,trace_node_16_id,trace_node_17_id,trace_node_18_id,trace_node_19_id,refined_trace_variation,refined_trace_delta_twice,refined_trace_diameter,refined_trace_radius,selected_refinement_flag
0,41,11,3,2,4,27,28,1,1,1,0,0,23,23,1,12,48,42,27,41,28,34,29,45,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,185,2,5,3,0
1,31,13,3,1,4,27,28,1,1,1,1,0,23,23,1,12,48,42,27,31,28,34,29,45,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,185,2,5,3,1
