observable_id,observable_code,value_x1e12,aux_id
0,0,4000000000000,-1
1,1,4000000000000,-1
2,2,2000000000000,-1
3,3,2000000000000,-1
4,4,2000000000000,-1
5,5,1000000000000,-1
6,6,1000000000000,-1
7,7,31000000000000,-1
8,8,13000000000000,-1
9,9,185000000000000,-1
10,10,2000000000000,-1
11,11,1000000000000,-1
12,12,30000000000000,-1
13,13,9000000000000,-1
14,14,185000000000000,-1
15,15,27000000000000,-1
16,16,28000000000000,-1
17,17,23000000000000,-1
18,18,41000000000000,-1
19,19,1000000000000,-1
