legacy_sector,raw_sector,block_dimension,matrix_unit_count,expected_matrix_unit_count,first_legacy_matrix_unit_label,last_legacy_matrix_unit_label,first_raw_matrix_unit_label,last_raw_matrix_unit_label,active_objects,permutation_rank,permutation_multiplicity,regular_trace_block_square,q42_nonzero_count,q12_nonzero_count,legacy_identity_fingerprint
0,32,10,100,100,"u_legacy[0;0,0]","u_legacy[0;9,9]","u[32;0,0]","u[32;9,9]","B-,V-,V+,S-,S+",360,36,100,7,5,"[-31250, 0, 250001, 250001, -46875, -31250]"
1,25,6,36,36,"u_legacy[1;0,0]","u_legacy[1;5,5]","u[25;0,0]","u[25;5,5]","B-,V-,V+,S-,S+",108,18,36,8,6,"[-15625, 0, -375001, -343751, 238282, -15625]"
2,23,4,16,16,"u_legacy[2;0,0]","u_legacy[2;3,3]","u[23;0,0]","u[23;3,3]","V+,S+",72,18,16,3,3,"[0, 0, 0, -343751, 0, 476564]"
3,12,5,25,25,"u_legacy[3;0,0]","u_legacy[3;4,4]","u[12;0,0]","u[12;4,4]","V+,S-,S+",120,24,25,4,4,"[0, 0, 0, 208334, -31250, 312501]"
4,28,4,16,16,"u_legacy[4;0,0]","u_legacy[4;3,3]","u[28;0,0]","u[28;3,3]","B-,S-,S+",72,18,16,4,4,"[-15625, 0, 0, 0, 476564, 492189]"
5,21,2,4,4,"u_legacy[5;0,0]","u_legacy[5;1,1]","u[21;0,0]","u[21;1,1]","V-,S+",18,9,4,2,2,"[0, 0, 312501, 0, 0, -253907]"
6,9,2,4,4,"u_legacy[6;0,0]","u_legacy[6;1,1]","u[9;0,0]","u[9;1,1]","S-,S+",18,9,4,2,2,"[0, 0, 0, 0, 119141, -253907]"
7,17,1,1,1,"u_legacy[7;0,0]","u_legacy[7;0,0]","u[17;0,0]","u[17;0,0]",B+,3,3,1,2,2,"[0, 328126, 0, 0, 0, 0]"
8,18,3,9,9,"u_legacy[8;0,0]","u_legacy[8;2,2]","u[18;0,0]","u[18;2,2]","B-,V+,S-",9,3,9,6,6,"[164063, 0, 0, -223959, 373048, 0]"
9,22,3,9,9,"u_legacy[9;0,0]","u_legacy[9;2,2]","u[22;0,0]","u[22;2,2]","V+,S+",9,3,9,2,2,"[0, 0, 0, -447918, 0, -417970]"
10,24,1,1,1,"u_legacy[10;0,0]","u_legacy[10;0,0]","u[24;0,0]","u[24;0,0]",B+,1,1,1,2,2,"[0, -223959, 0, 0, 0, 0]"
11,6,5,25,25,"u_legacy[11;0,0]","u_legacy[11;4,4]","u[6;0,0]","u[6;4,4]","V-,V+,S-,S+",15,3,25,6,3,"[0, 0, 104167, -447918, 373048, -417970]"
12,14,4,16,16,"u_legacy[12;0,0]","u_legacy[12;3,3]","u[14;0,0]","u[14;3,3]","B+,V-,V+",16,4,16,6,4,"[0, 104167, -194445, 402779, 0, 0]"
13,3,2,4,4,"u_legacy[13;0,0]","u_legacy[13;1,1]","u[3;0,0]","u[3;1,1]","V+,S+",2,1,4,4,4,"[0, 0, 0, -74653, 0, 194011]"
14,27,5,25,25,"u_legacy[14;0,0]","u_legacy[14;4,4]","u[27;0,0]","u[27;4,4]","V-,V+,S+",10,2,25,6,4,"[0, 0, 402779, -298612, 0, -223959]"
15,37,4,16,16,"u_legacy[15;0,0]","u_legacy[15;3,3]","u[37;0,0]","u[37;3,3]","B-,V-,S-",72,18,16,5,5,"[-31250, 0, -375001, 0, 238282, 0]"
16,7,3,9,9,"u_legacy[16;0,0]","u_legacy[16;2,2]","u[7;0,0]","u[7;2,2]",V+,18,6,9,1,1,"[0, 0, 0, -343751, 0, 0]"
17,31,4,16,16,"u_legacy[17;0,0]","u_legacy[17;3,3]","u[31;0,0]","u[31;3,3]","B-,V+,S-",72,18,16,6,6,"[-15625, 0, 0, -343751, 476564, 0]"
18,20,6,36,36,"u_legacy[18;0,0]","u_legacy[18;5,5]","u[20;0,0]","u[20;5,5]","B-,B+,V-,V+,S-,S+",6,1,36,12,6,"[388022, -223959, -298612, -74653, -208985, 194011]"
19,5,1,1,1,"u_legacy[19;0,0]","u_legacy[19;0,0]","u[5;0,0]","u[5;0,0]",B+,6,6,1,2,2,"[0, -343751, 0, 0, 0, 0]"
20,11,2,4,4,"u_legacy[20;0,0]","u_legacy[20;1,1]","u[11;0,0]","u[11;1,1]","B-,S-",36,18,4,4,4,"[-15625, 0, 0, 0, 238282, 0]"
