shell_weight,start_index,iterations,final_ratio,final_cv,final_min_x,boundary_attractor_flag
12,0,0,1.0,0.0,1.0,False
12,1,48,1.0000000000000002,5.080408062996126e-11,0.999999999926935,False
12,2,49,0.9999999999999993,3.666491016197182e-11,0.9999999999446914,False
12,3,48,0.9999999999999989,4.174028228331567e-11,0.9999999999148016,False
12,4,49,1.0000000000000009,4.3690125667111006e-11,0.9999999999288885,False
12,5,48,1.0000000000000004,4.706437283684686e-11,0.9999999999062364,False
12,6,49,1.0000000000000004,4.532923787723541e-11,0.9999999998812008,False
12,7,49,1.000000000000002,3.8750378659088866e-11,0.9999999999199625,False
12,8,49,1.000000000000001,3.99818483179917e-11,0.9999999999231552,False
12,9,48,0.9999999999999998,4.439163451514784e-11,0.9999999999168905,False
12,10,49,0.9999999999999988,3.6752967877304755e-11,0.9999999999397129,False
12,11,49,1.0000000000000004,3.7466328341198937e-11,0.9999999999342,False
12,12,49,1.000000000000001,3.6493287152851854e-11,0.9999999999412732,False
12,13,48,1.0000000000000004,5.489698191567606e-11,0.9999999999275251,False
12,14,49,0.9999999999999998,4.0048914465002606e-11,0.9999999999327738,False
12,15,48,1.0000000000000002,4.526280997898678e-11,0.999999999917526,False
12,16,48,0.9999999999999993,4.504518187709873e-11,0.9999999999239184,False
12,17,49,0.9999999999999989,3.681085166384506e-11,0.9999999999321316,False
12,18,48,0.9999999999999994,4.522214978564441e-11,0.9999999999015918,False
12,19,48,1.0,4.8347400290975254e-11,0.9999999999044829,False
12,20,48,1.0000000000000004,5.2255976746928764e-11,0.9999999999062354,False
12,21,48,1.0000000000000002,4.509610629848382e-11,0.9999999999116898,False
12,22,49,1.0000000000000004,3.7110160796184575e-11,0.999999999928765,False
12,23,48,1.0000000000000007,4.8533018029914725e-11,0.9999999999020015,False
12,24,48,1.0,5.272019358015659e-11,0.9999999999110272,False
12,25,51,0.9999999999999997,4.024924888198143e-11,0.9999999999402375,False
12,26,50,1.0000000000000009,5.4370831546099894e-11,0.9999999998717252,False
12,27,51,0.9999999999999993,4.182175584445688e-11,0.9999999999408112,False
12,28,51,0.9999999999999997,3.786531944600041e-11,0.9999999999317388,False
12,29,50,1.000000000000001,4.564195550711121e-11,0.9999999999098876,False
12,30,50,1.0000000000000013,5.3840359533145446e-11,0.9999999999268172,False
12,31,51,1.0000000000000002,3.505654070959427e-11,0.9999999999276176,False
12,32,50,0.9999999999999993,5.395030061414589e-11,0.999999999899546,False
12,33,50,1.0000000000000018,5.159090348868178e-11,0.9999999998981832,False
12,34,51,1.0000000000000002,4.088496032153642e-11,0.9999999999322661,False
12,35,51,0.9999999999999994,3.763583936813522e-11,0.9999999999406376,False
12,36,51,0.9999999999999988,3.7165421432773684e-11,0.9999999999320487,False
12,37,51,1.0000000000000009,4.2265306210934124e-11,0.9999999999398606,False
12,38,50,1.0000000000000002,5.2587949333548887e-11,0.9999999999037809,False
12,39,51,0.9999999999999998,4.211895711421612e-11,0.9999999999253476,False
12,40,51,0.9999999999999997,3.5095193983956475e-11,0.999999999954684,False
12,41,51,1.0,3.4888569079821833e-11,0.9999999999578741,False
12,42,51,1.0000000000000013,3.654209370625652e-11,0.9999999999352894,False
12,43,50,0.9999999999999994,5.1956658850255795e-11,0.9999999999106134,False
12,44,51,1.0000000000000009,4.334892983285828e-11,0.9999999999338378,False
12,45,50,0.9999999999999994,5.125561529140573e-11,0.9999999999005078,False
12,46,51,1.0000000000000004,4.141366720476054e-11,0.9999999999322798,False
12,47,51,0.9999999999999993,3.84384581285066e-11,0.9999999999193812,False
12,48,51,1.0000000000000004,4.002881912552824e-11,0.9999999999236785,False
12,49,51,1.0,5.4544392294360075e-11,0.9999999999109525,False
12,50,51,1.0,4.5808352040359325e-11,0.9999999999231548,False
12,51,51,0.9999999999999997,4.989063652337583e-11,0.9999999999023497,False
12,52,52,1.000000000000001,3.63016300855228e-11,0.9999999999274994,False
12,53,51,0.9999999999999998,4.618778630834979e-11,0.9999999999444779,False
12,54,51,1.0000000000000007,5.0819602154724704e-11,0.9999999999187773,False
12,55,51,1.0,4.978554994051249e-11,0.9999999999290665,False
12,56,51,1.0000000000000004,5.261520825175129e-11,0.9999999999184044,False
12,57,51,1.0000000000000004,5.0327020029531053e-11,0.9999999999357858,False
12,58,51,1.0000000000000004,5.47456074499119e-11,0.9999999999064189,False
12,59,52,0.9999999999999997,3.5878937773534e-11,0.9999999999509113,False
12,60,51,1.0000000000000004,5.011773362037527e-11,0.9999999999291864,False
12,61,52,0.9999999999999986,3.752431094023736e-11,0.9999999999311934,False
12,62,51,0.9999999999999993,4.8067291212084426e-11,0.9999999999258005,False
12,63,51,1.0000000000000002,5.1326664630261885e-11,0.9999999999172227,False
12,64,52,1.0000000000000009,4.038699552246855e-11,0.9999999999365754,False
12,65,52,1.0,3.52673106586827e-11,0.99999999993053,False
12,66,51,0.9999999999999989,4.494137537159745e-11,0.9999999999404257,False
12,67,52,0.9999999999999988,3.673025227338764e-11,0.9999999999127932,False
12,68,52,1.0000000000000007,4.423070074880401e-11,0.9999999999210325,False
12,69,51,1.000000000000001,4.91311825950418e-11,0.9999999999065537,False
12,70,51,1.0000000000000009,5.043348545183045e-11,0.9999999999178588,False
12,71,51,0.9999999999999989,5.1135967619948484e-11,0.9999999999140787,False
12,72,52,1.0,3.48798095255084e-11,0.9999999999408582,False
12,73,52,1.000000000000001,4.885932723372962e-11,0.9999999999241671,False
12,74,52,0.9999999999999994,5.22782438187291e-11,0.9999999998226625,False
12,75,52,0.9999999999999988,4.593781927333279e-11,0.9999999998947966,False
12,76,52,1.0,5.193344661685797e-11,0.9999999998947858,False
12,77,52,1.0000000000000009,3.8782328915307324e-11,0.999999999913613,False
12,78,52,0.9999999999999997,3.8615384717231975e-11,0.9999999999017456,False
