shell_weight,support_label,support_size,best_ratio,log_a_over_b,a_over_b,success,intersection_counts
8,prefix_0,0,1.0,7.9999998224647975,2980.9574578167953,True,759;0;0;0;0;0;0;0;0
8,prefix_1,1,1.0000000000000004,5.544778077566801e-10,1.0000000005544778,True,506;253;0;0;0;0;0;0;0
8,prefix_2,2,1.0000000000000002,-4.332707995662306e-09,0.999999995667292,True,330;352;77;0;0;0;0;0;0
8,prefix_3,3,1.0000000000000004,9.452897180246401e-10,1.0000000009452896,True,210;360;168;21;0;0;0;0;0
8,prefix_4,4,1.0,2.5794508106400777e-08,1.0000000257945085,True,130;320;240;64;5;0;0;0;0
8,prefix_5,5,1.0000000000000004,-8.278944031235282e-09,0.999999991721056,True,78;260;280;120;20;1;0;0;0
8,prefix_6,6,1.0000000000000004,-5.835224368088805e-09,0.9999999941647757,True,46;192;300;160;60;0;1;0;0
8,prefix_7,7,1.0000000000000002,-1.0493249464196958e-08,0.9999999895067506,True,30;112;336;140;140;0;0;1;0
8,prefix_8,8,1.0000000000000002,3.056280287477349e-09,1.0000000030562803,True,30;0;448;0;280;0;0;0;1
8,prefix_9,9,1.0000000000000004,3.8932989286338626e-10,1.00000000038933,True,15;15;280;168;210;70;0;0;1
8,prefix_10,10,1.0000000000000002,1.8016786599945264e-08,1.0000000180167867,True,7;16;175;224;210;112;14;0;1
8,prefix_11,11,1.0000000000000007,2.7312937965148213e-09,1.0000000027312939,True,3;12;108;219;230;148;36;2;1
8,prefix_12,12,1.0000000000000004,-1.5012112870888876e-12,0.9999999999984988,True,3;0;72;192;225;192;72;0;3
8,prefix_13,13,1.0000000000000004,-7.412526585892945e-09,0.9999999925874734,True,1;2;36;148;230;219;108;12;3
8,prefix_14,14,1.0000000000000007,3.642829524132784e-09,1.0000000036428296,True,1;0;14;112;210;224;175;16;7
8,prefix_15,15,1.0000000000000002,1.6202312237849295e-09,1.0000000016202313,True,1;0;0;70;210;168;280;15;15
8,prefix_16,16,1.0000000000000002,7.723244070568035e-10,1.0000000007723244,True,1;0;0;0;280;0;448;0;30
8,prefix_17,17,1.0000000000000004,9.069672425994418e-09,1.0000000090696726,True,0;1;0;0;140;140;336;112;30
8,prefix_18,18,1.0000000000000004,-3.7922636321473105e-09,0.9999999962077364,True,0;0;1;0;60;160;300;192;46
8,prefix_19,19,1.0000000000000004,3.8307419353137814e-09,1.000000003830742,True,0;0;0;1;20;120;280;260;78
8,prefix_20,20,1.0000000000000007,9.105366153056645e-09,1.0000000091053662,True,0;0;0;0;5;64;240;320;130
8,prefix_21,21,1.0000000000000007,1.0998422483636817e-09,1.0000000010998422,True,0;0;0;0;0;21;168;360;210
