shell_weight,min_rayleigh,trial,i,j,x_i,x_j,g,D_i,D_j,D_ij,strong_rayleigh_passes_sample,strong_rayleigh_route_rejected
8,-685393673186813.4,14,16,17,1.0,1.0,362916864.9999995,20174336.999999978,20174336.999999978,3010048.9999999944,False,True
12,-7.0488735763024036e+19,56,4,21,0.795103665234003,0.41683616352526814,21045455190.986004,5525887352.088852,7220497779.463249,5245236661.149823,False,True
16,-7.586795201804823e+27,19,0,1,8.0,8.0,4899561252323318.0,459166363680767.56,459166363680767.56,44579613048831.9,False,True
