label,shell_weight,num_cells,cell_sizes,patterns,profile_count,best_ratio,success,cv,max_level_over_min,levels
single_w8_0,12,2,16;8,0;1,3,1.0000000000000004,True,2.4219647518325877e-09,1.000000005137763,1;0.999999997
single_w8_1,12,2,16;8,0;1,3,1.0000000000000004,True,2.4219647518325877e-09,1.000000005137763,1;0.999999997
single_w8_2,12,2,16;8,0;1,3,1.0000000000000004,True,2.4219647518325877e-09,1.000000005137763,1;0.999999997
single_w8_3,12,2,16;8,0;1,3,1.0000000000000004,True,2.4219647518325877e-09,1.000000005137763,1;0.999999997
single_w12_0,12,2,12;12,0;1,5,1.0,True,0.0,1.0,1;1
single_w12_1,12,2,12;12,0;1,5,1.0000000000000007,True,4.015103471921578e-09,1.000000008030207,0.999999996;1
single_w12_2,12,2,12;12,0;1,5,1.0,True,0.0,1.0,1;1
single_w12_3,12,2,12;12,0;1,5,1.0,True,0.0,1.0,1;1
single_w16_0,12,2,8;16,0;1,3,1.0000000000000004,True,2.009668207401471e-09,1.00000000426315,0.999999998;1
single_w16_1,12,2,8;16,0;1,3,1.0,True,0.0,1.0,1;1
single_w16_2,12,2,8;16,0;1,3,1.0,True,0.0,1.0,1;1
single_w16_3,12,2,8;16,0;1,3,1.0,True,0.0,1.0,1;1
pair_w8_0_w8_0,12,2,16;8,00;11,3,1.0000000000000004,True,2.4219647518325877e-09,1.000000005137763,1;0.999999997
pair_w8_0_w8_1,12,4,12;4;4;4,00;01;10;11,21,1.0000000000000004,True,8.659383854260848e-09,1.0000000218830194,1.00000001;1.00000001;0.999999987;0.999999995
pair_w8_1_w8_0,12,4,12;4;4;4,00;01;10;11,21,1.0000000000000002,True,1.9062153413755554e-09,1.0000000040436934,0.999999998;1;1;0.999999998
pair_w8_1_w8_1,12,2,16;8,00;11,3,1.0000000000000004,True,2.4219647518325877e-09,1.000000005137763,1;0.999999997
pair_w8_0_w12_0,12,4,10;6;2;6,00;01;10;11,21,1.0000000000000004,True,4.033896509592675e-09,1.0000000121201191,1;0.999999994;1.00000001;0.999999998
pair_w8_0_w12_1,12,4,10;6;2;6,00;01;10;11,21,1.0,True,0.0,1.0,1;1;1;1
pair_w8_1_w12_0,12,4,10;6;2;6,00;01;10;11,21,1.0000000000000004,True,2.8955402771831648e-09,1.0000000108156213,0.999999997;0.999999999;1.00000001;0.999999997
pair_w8_1_w12_1,12,4,10;6;2;6,00;01;10;11,21,1.0,True,0.0,1.0,1;1;1;1
pair_w8_0_w16_0,12,3,8;8;8,00;01;11,7,1.0000000000000004,True,2.868125278710293e-09,1.0000000069879038,0.999999996;1;1
pair_w8_0_w16_1,12,3,8;8;8,00;01;11,7,1.0,True,0.0,1.0,1;1;1
pair_w8_1_w16_0,12,3,8;8;8,00;01;11,7,1.0000000000000009,True,4.967045180830455e-09,1.000000010828707,1;1;0.999999993
pair_w8_1_w16_1,12,4,6;10;2;6,00;01;10;11,21,1.0,True,0.0,1.0,1;1;1;1
pair_w12_0_w12_0,12,2,12;12,00;11,5,1.0,True,0.0,1.0,1;1
pair_w12_0_w12_1,12,4,8;4;4;8,00;01;10;11,27,1.0,True,0.0,1.0,1;1;1;1
pair_w12_1_w12_0,12,4,8;4;4;8,00;01;10;11,27,1.0,True,0.0,1.0,1;1;1;1
pair_w12_1_w12_1,12,2,12;12,00;11,5,1.0000000000000007,True,2.4503796214325754e-09,1.0000000049007594,1;0.999999998
pair_w12_0_w16_0,12,4,6;6;2;10,00;01;10;11,21,1.0,True,0.0,1.0,1;1;1;1
pair_w12_0_w16_1,12,4,6;6;2;10,00;01;10;11,21,1.0,True,0.0,1.0,1;1;1;1
pair_w12_1_w16_0,12,4,6;6;2;10,00;01;10;11,21,1.0,True,0.0,1.0,1;1;1;1
pair_w12_1_w16_1,12,4,6;6;2;10,00;01;10;11,21,1.0,True,0.0,1.0,1;1;1;1
pair_w16_0_w16_0,12,2,8;16,00;11,3,1.0,True,0.0,1.0,1;1
pair_w16_0_w16_1,12,4,4;4;4;12,00;01;10;11,21,1.0000000000000004,True,3.46716718357308e-09,1.000000010137497,0.999999994;0.999999999;1;1
pair_w16_1_w16_0,12,4,4;4;4;12,00;01;10;11,21,1.000000000000001,True,4.145222279135893e-09,1.0000000127209794,0.999999996;1.00000001;0.999999998;0.999999998
pair_w16_1_w16_1,12,2,8;16,00;11,3,1.0000000000000002,True,5.210409395158779e-10,1.0000000011052947,1;0.999999999
triple_8-8-8_0,12,2,16;8,000;111,3,1.0000000000000004,True,2.4219647518325877e-09,1.000000005137763,1;0.999999997
triple_8-8-8_1,12,2,16;8,000;111,3,1.0000000000000004,True,2.4219647518325877e-09,1.000000005137763,1;0.999999997
triple_8-8-8_2,12,2,16;8,000;111,3,1.0000000000000004,True,2.4219647518325877e-09,1.000000005137763,1;0.999999997
triple_8-12-16_0,12,6,6;4;2;4;2;6,000;001;010;011;101;111,79,1.0,True,0.0,1.0,1;1;1;1;1;1
triple_12-12-12_0,12,2,12;12,000;111,5,1.0,True,0.0,1.0,1;1
triple_12-12-12_1,12,2,12;12,000;111,5,1.0,True,0.0,1.0,1;1
triple_12-12-12_2,12,2,12;12,000;111,5,1.0,True,0.0,1.0,1;1
triple_12-12-16_0,12,4,6;6;2;10,000;001;110;111,21,1.0000000000000002,True,9.672273984811717e-09,1.0000000330531056,1.00000002;0.999999996;0.999999984;1
triple_12-12-16_1,12,4,6;6;2;10,000;001;110;111,21,1.0,True,0.0,1.0,1;1;1;1
triple_12-12-16_2,12,4,6;6;2;10,000;001;110;111,21,1.0000000000000002,True,1.035451367766058e-08,1.0000000282178212,1.00000002;0.999999989;0.999999994;1
random_t2_w12-16_0,12,4,2;10;6;6,00;01;10;11,21,1.0,True,0.0,1.0,1;1;1;1
random_t2_w8-16_1,12,4,4;12;4;4,00;01;10;11,21,1.0000000000000013,True,6.688246559434625e-09,1.0000000159420246,0.999999995;1.00000001;1;0.999999993
random_t2_w8-8_2,12,4,12;4;4;4,00;01;10;11,21,1.0000000000000004,True,5.650117969468525e-09,1.0000000186694076,1;1;0.999999989;1.00000001
random_t2_w8-8_3,12,4,12;4;4;4,00;01;10;11,21,1.0000000000000007,True,1.8370892712870996e-09,1.0000000055842198,1;0.999999996;1;1
single_w8_0,16,2,16;8,0;1,4,1.0,True,0.0,1.0,1;1
single_w8_1,16,2,16;8,0;1,4,1.0000000000000002,True,2.1198339047909392e-09,1.000000004496847,0.999999998;1
single_w8_2,16,2,16;8,0;1,4,1.0,True,0.0,1.0,1;1
single_w8_3,16,2,16;8,0;1,4,1.0,True,0.0,1.0,1;1
single_w12_0,16,2,12;12,0;1,3,1.0,True,0.0,1.0,1;1
single_w12_1,16,2,12;12,0;1,3,1.0,True,0.0,1.0,1;1
single_w12_2,16,2,12;12,0;1,3,1.0,True,0.0,1.0,1;1
single_w12_3,16,2,12;12,0;1,3,1.0,True,0.0,1.0,1;1
single_w16_0,16,2,8;16,0;1,4,1.0,True,0.0,1.0,1;1
single_w16_1,16,2,8;16,0;1,4,1.0,True,0.0,1.0,1;1
single_w16_2,16,2,8;16,0;1,4,1.0,True,0.0,1.0,1;1
