kind,target,weight_type,series,total_dimension_n,q_exponent,coefficient,distance,interpretation
exact,91,q42_pair_coefficient_mass,symmetric_relation_pair_stack,3,108,91,0,exact relation-pair quotient stack coefficient in search window
nearest_with_exact_present,91,q42_pair_coefficient_mass,symmetric_relation_pair_stack,3,108,91,0,nearest relation-pair quotient stack coefficient in search window
nearest,243,q42_pair_coefficient_mass,symmetric_relation_pair_stack,4,411,248,5,nearest relation-pair quotient stack coefficient in search window
nearest,455,q42_pair_coefficient_mass,symmetric_relation_pair_stack,4,395,448,7,nearest relation-pair quotient stack coefficient in search window
nearest,2275,q42_pair_coefficient_mass,symmetric_relation_pair_stack,2,1,2940,665,nearest relation-pair quotient stack coefficient in search window
nearest,4095,q42_pair_coefficient_mass,symmetric_relation_pair_stack,3,2,4410,315,nearest relation-pair quotient stack coefficient in search window
nearest,6825,q42_pair_coefficient_mass,symmetric_relation_pair_stack,4,381,6474,351,nearest relation-pair quotient stack coefficient in search window
nearest,6912,q42_pair_coefficient_mass,symmetric_relation_pair_stack,4,381,6474,438,nearest relation-pair quotient stack coefficient in search window
nearest,14560,q42_pair_coefficient_mass,symmetric_relation_pair_stack,3,202,14742,182,nearest relation-pair quotient stack coefficient in search window
nearest,455640,q42_pair_coefficient_mass,symmetric_relation_pair_stack,5,315,457222,1582,nearest relation-pair quotient stack coefficient in search window
nearest,531441,q42_pair_coefficient_mass,symmetric_relation_pair_stack,5,431,530912,529,nearest relation-pair quotient stack coefficient in search window
nearest,534656,q42_pair_coefficient_mass,symmetric_relation_pair_stack,5,431,530912,3744,nearest relation-pair quotient stack coefficient in search window
nearest,1414965,q42_pair_coefficient_mass,symmetric_relation_pair_stack,4,58,1184546,230419,nearest relation-pair quotient stack coefficient in search window
nearest,2537360,q42_pair_coefficient_mass,symmetric_relation_pair_stack,5,363,2560556,23196,nearest relation-pair quotient stack coefficient in search window
exact,32,q42_pair_row_support,symmetric_relation_pair_stack,2,364,32,0,exact relation-pair quotient stack coefficient in search window
exact,32,q42_pair_row_support,symmetric_relation_pair_stack,2,464,32,0,exact relation-pair quotient stack coefficient in search window
exact,32,q42_pair_row_support,symmetric_relation_pair_stack,3,307,32,0,exact relation-pair quotient stack coefficient in search window
nearest_with_exact_present,32,q42_pair_row_support,symmetric_relation_pair_stack,2,364,32,0,nearest relation-pair quotient stack coefficient in search window
nearest,39,q42_pair_row_support,symmetric_relation_pair_stack,2,365,38,1,nearest relation-pair quotient stack coefficient in search window
nearest,91,q42_pair_row_support,symmetric_relation_pair_stack,3,67,90,1,nearest relation-pair quotient stack coefficient in search window
nearest,243,q42_pair_row_support,symmetric_relation_pair_stack,3,462,240,3,nearest relation-pair quotient stack coefficient in search window
nearest,455,q42_pair_row_support,symmetric_relation_pair_stack,3,382,444,11,nearest relation-pair quotient stack coefficient in search window
nearest,2275,q42_pair_row_support,symmetric_relation_pair_stack,3,447,1646,629,nearest relation-pair quotient stack coefficient in search window
nearest,4095,q42_pair_row_support,symmetric_relation_pair_stack,2,4,4410,315,nearest relation-pair quotient stack coefficient in search window
nearest,6825,q42_pair_row_support,symmetric_relation_pair_stack,3,481,6272,553,nearest relation-pair quotient stack coefficient in search window
nearest,6912,q42_pair_row_support,symmetric_relation_pair_stack,3,481,6272,640,nearest relation-pair quotient stack coefficient in search window
nearest,14560,q42_pair_row_support,symmetric_relation_pair_stack,3,25,14794,234,nearest relation-pair quotient stack coefficient in search window
nearest,455640,q42_pair_row_support,symmetric_relation_pair_stack,4,485,455984,344,nearest relation-pair quotient stack coefficient in search window
nearest,531441,q42_pair_row_support,symmetric_relation_pair_stack,4,441,513380,18061,nearest relation-pair quotient stack coefficient in search window
nearest,534656,q42_pair_row_support,symmetric_relation_pair_stack,4,441,513380,21276,nearest relation-pair quotient stack coefficient in search window
nearest,1414965,q42_pair_row_support,symmetric_relation_pair_stack,4,447,1343249,71716,nearest relation-pair quotient stack coefficient in search window
nearest,2537360,q42_pair_row_support,symmetric_relation_pair_stack,4,414,2527845,9515,nearest relation-pair quotient stack coefficient in search window
nearest,32,q42_pair_output_classes,symmetric_relation_pair_stack,1,2,46,14,nearest relation-pair quotient stack coefficient in search window
nearest,39,q42_pair_output_classes,symmetric_relation_pair_stack,1,2,46,7,nearest relation-pair quotient stack coefficient in search window
nearest,91,q42_pair_output_classes,symmetric_relation_pair_stack,1,2,46,45,nearest relation-pair quotient stack coefficient in search window
nearest,243,q42_pair_output_classes,symmetric_relation_pair_stack,1,1,248,5,nearest relation-pair quotient stack coefficient in search window
nearest,455,q42_pair_output_classes,symmetric_relation_pair_stack,1,1,248,207,nearest relation-pair quotient stack coefficient in search window
nearest,2275,q42_pair_output_classes,symmetric_relation_pair_stack,1,0,1470,805,nearest relation-pair quotient stack coefficient in search window
nearest,4095,q42_pair_output_classes,symmetric_relation_pair_stack,1,0,1470,2625,nearest relation-pair quotient stack coefficient in search window
nearest,6825,q42_pair_output_classes,symmetric_relation_pair_stack,2,3,11408,4583,nearest relation-pair quotient stack coefficient in search window
nearest,6912,q42_pair_output_classes,symmetric_relation_pair_stack,2,3,11408,4496,nearest relation-pair quotient stack coefficient in search window
nearest,14560,q42_pair_output_classes,symmetric_relation_pair_stack,3,6,17296,2736,nearest relation-pair quotient stack coefficient in search window
nearest,455640,q42_pair_output_classes,symmetric_relation_pair_stack,2,1,364560,91080,nearest relation-pair quotient stack coefficient in search window
nearest,531441,q42_pair_output_classes,symmetric_relation_pair_stack,2,1,364560,166881,nearest relation-pair quotient stack coefficient in search window
