weight_type,series,total_dimension_n,count,q_weighted_sum,q_mean,q2_weighted_sum
full_pair_coefficient_mass,symmetric_relation_pair_stack,25,30287511438562858974450732286400166714187017697136423329557342592745420634050173471544681280601561959107556188824740458068302,1978770313661301836062560911942045026435894105386869914924498446191932464414633315303294878709024298543827567084956434389743218,65.3328787898328,175120451657555892111192956585334680037594356486143830286563068599995532151766858139271000982008391453623743296035733249772263236
full_pair_coefficient_mass,symmetric_relation_pair_stack,26,1130243218672311217972748500398441563073853964914085494609902188654580040948091056910905037178753625418644663834153346301054315443,76795099450088687753005894215595786478099400260813265818439555405476039346226480274846948842000705801627589528835779984494356617216,67.9456405323974,6996716053022565184575134106563944869978215524861819472281913201277194424329453264130897792155707709136285312287483268861832222767988
full_pair_coefficient_mass,symmetric_relation_pair_stack,27,40615347767979291889724893909380727060491627182662618959058431982141636358642931054351089549690049261212955373555711538923375697115439,2865750583895391252466964076216187820065604616771191303548897485260159520381978245508844553363118107196747026270554960710077138784430306,70.55831702504142,268571886626096053230444187634554995685890936569859666853577097768823709561148802448751506894054722020955097009072087412821370265051160384
full_pair_coefficient_mass,symmetric_relation_pair_stack,28,1407390222987276661803504051606674441968841154204330816773038898984095986218338443027472388514349364131071428701709536864698351982796194460,102980008744402060517622603481609138239701609495978192837928888751733862271899138159383205794487322070306536294044157529788190835945352076340,73.17089962854818,9919692983009165249618638001320830561866594881541606297609725674034109796460845534115703966209195817830841401928876761839857697378104630670512
full_pair_coefficient_mass,symmetric_relation_pair_stack,29,47086809168118623094239067008435514254787287941646924820929682250763796334320201689458867217860219849319722893949524514889652269909487459301592,3568397527308977455284001206376192591310899685762698385225195376217735863014024312241483283131715557099296273127427177016037199116787305691506720,75.7833794719107,353037971720235996983579336961072363526156840764347251031667495980545214252856530047432582505016858008696804618064552085201020223963287493340705308
full_pair_coefficient_mass,symmetric_relation_pair_stack,30,1522863829459122368599821300994066424795671021829233359463280628790524322489988322701336016778655064308681070294555005739454139285619547468324347061,119386048238964470820763355726634430115536139792601723990982240312182592552326571713971003866316740708364533795608360898253648159659396860079114899750,78.39574749199144,12122745761873752010167962170945619716482112088831597443556191115968475266833099344747954955794736254453717324644364281502866739501473539238237151736352
full_pair_coefficient_mass,symmetric_relation_pair_stack,31,47663152901603714790730572572297162469148358590796795510793293771915457251202930587671784570016497892383005198005198555941990844062299269051609534774989,3861096426746597839248153660809400275733835122472756701770791661884253162397615141820589975809492094407797071555285016695643094082673927569406407941777860,81.00799447148374,402132338799056059307085051585621280024959928007555589607790341695822216289582304954455808616103199273029008087593520739882318178191758042295821998367364420
full_pair_coefficient_mass,symmetric_relation_pair_stack,32,1445161865874095679814201148702876292679406765316188960480808940875400953601403813816920682100575589147051592159295528385398599470884177645894261539491500696,120844595745587785424320155087097995676954535704994206659916878706120241365251517078421214000353221827538872943448020306486293244443723037953316380005454837794,83.62011107489043,12900972162507935912389882695036907432847183555893969073598825133072225550264046825091073889475182682553290186543325980204827853276176851932083485237346768807660
full_pair_coefficient_mass,symmetric_relation_pair_stack,33,42489983357410273092399191647711486634860067227236195184414315794445471678213680247561469234322051410061031493862097118610873178452935726009109724401220958815127,3663999978985655153517093609585516573017144215615155157799967937452147867044156438433990980366480965223446969894668280944917749397594730680009334926491884194056674,86.23208788211144,400706731091545674419489636813781476376266853087779460977642379658654774386050318390301516217887988628704019857219068934339472779728045305122090030763158538174913900
full_pair_coefficient_mass,symmetric_relation_pair_stack,34,1212528469551119930573624692613186934066544163086269116871695050316685822588700341281238257580201302803312064818353896981360850282365785939516589326614240460630865461,107725776792094860700086421532649108216556101804093251350224726978813897168161656139356708321932694509990299842369388251601230044124009358396517859351442482727676188550,88.84391541913661,12061967826776708418105670163727954275037408162806255113455364182062411817962806197211727048070531101907173182140904502480349143069230253913443335838407570573805519451572
full_pair_coefficient_mass,symmetric_relation_pair_stack,35,33613093386585599761364165703848091175229814635782463211970476819556697670852976541053323644055254614574122197042855562168275406105182335516486768135064387331711852571308,3074105091944225478162831787730130993467244659287550302147944013149996207908709028082766162134082016096370521008372462359752507146480333906821524138791614027380174426836536,91.45558418527011,352214644077441041089874953724647676945953287033559731525031848005094632823715252928589074683294403151348168449870864292702053567353147201555808451557142056439570537262393124
full_pair_coefficient_mass,symmetric_relation_pair_stack,36,905922056504006338032402893333322918854140753914413812899609624927939675158741836948081010470531330331793665443212417346421950297322929955639608001698347101727079459214759076,85217446799260126968907397479047004889450558389354600046493291853471395286282114013366411602411285094486222006240658212771997207669952716890006835171390465451125034967516353052,94.0670846762668,9985753767543527660071887267691328068124246598316326112036995402968912702154595454025036888599936597010763988434951010818383186163860402348785883255053487506172726856049673611740
full_pair_coefficient_mass,symmetric_relation_pair_stack,37,23756049438800648974695857573038432047632749913108747474873978354964089824453923620427353141660534259403832137871626575190525238361328549501667105163808781113709018445096379307908,2296697025923907819763998785488477355213214943992458645847662654292101801104275398655478064974860192842493502889651105366290698759034480253025986656827689306597473620379999664911410,96.67840740273603,275107928094235528846960006829337454315752504465036356283618579564595704057140371249510819097303691717696928237642334013911578843646909992151633751686839425468220186848958838509998136
