index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0,12,0,0,0,0,0,186,0,0,0,0,0,72,48,144,180,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,320,0,0,0,0,0,448,0,0,0,0,0,0,0,0,0,576,192,576,576,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,1,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,22,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,1,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,12,22,32,64,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,42,0,0,0,0,0,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540,216,144,576,792,0,0,0,0,0
5,0,0,0,0,0,16,0,0,0,0,0,1232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384,240,240,768,528
6,186,0,0,0,0,0,12288,0,0,0,0,0,4536,3024,9072,11340,12096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,448,0,0,0,0,0,1856,0,0,0,0,0,0,0,0,0,1728,576,1728,1728,2880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,13,0,0,0,0,0,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,1144,572,3146,1144,2860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,85,0,0,0,0,0,49365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13800,6900,12650,18400,36800,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,750,0,0,0,0,0,20986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14820,5928,3952,15808,21736,0,0,0,0,0
11,0,0,0,0,0,1232,0,0,0,0,0,77392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24192,15120,15120,48384,33264
12,0,576,0,0,0,0,0,1728,0,0,0,0,0,0,0,0,0,6336,1536,4608,5760,6144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,8,0,0,0,0,0,1144,0,0,0,0,0,0,0,0,0,0,0,0,0,4752,1728,3456,4320,4608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,24,0,0,0,0,0,13800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19008,6912,4608,17280,18432,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,540,0,0,0,0,0,14820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16896,6144,4096,12288,16384,0,0,0,0,0
16,0,0,0,0,0,384,0,0,0,0,0,24192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25344,9216,6144,18432,23040
17,72,0,0,0,0,0,4536,0,0,0,0,0,6144,1536,4608,4608,7680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,4,0,0,0,0,0,572,0,0,0,0,0,0,0,0,0,0,0,0,0,1728,2304,1728,1728,2880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,12,0,0,0,0,0,6900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6912,9216,2304,6912,11520,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,216,0,0,0,0,0,5928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6144,8192,2048,6144,10240,0,0,0,0,0
21,0,0,0,0,0,240,0,0,0,0,0,15120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9216,12288,3072,9216,9216
22,48,0,0,0,0,0,3024,0,0,0,0,0,1536,5376,8448,3072,7680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,192,0,0,0,0,0,576,0,0,0,0,0,0,0,0,0,1536,2688,4224,1536,3840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,22,0,0,0,0,0,12650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4608,2304,8064,4608,11520,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,144,0,0,0,0,0,3952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,2048,7168,11264,10240,0,0,0,0,0
26,0,0,0,0,0,240,0,0,0,0,0,15120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6144,3072,10752,16896,6144
27,144,0,0,0,0,0,9072,0,0,0,0,0,4608,8448,33024,12288,24576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,576,0,0,0,0,0,1728,0,0,0,0,0,0,0,0,0,4608,4224,16512,6144,12288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,22,0,0,0,0,0,3146,0,0,0,0,0,0,0,0,0,0,0,0,0,3456,1728,12384,4608,9216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,576,0,0,0,0,0,15808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12288,6144,11264,44032,32768,0,0,0,0,0
31,0,0,0,0,0,768,0,0,0,0,0,48384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18432,9216,16896,66048,24576
32,180,0,0,0,0,0,11340,0,0,0,0,0,4608,3072,12288,16896,16896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,576,0,0,0,0,0,1728,0,0,0,0,0,0,0,0,0,5760,1536,6144,8448,8448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,8,0,0,0,0,0,1144,0,0,0,0,0,0,0,0,0,0,0,0,0,4320,1728,4608,6336,6336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,32,0,0,0,0,0,18400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17280,6912,4608,25344,25344,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,528,0,0,0,0,0,33264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23040,9216,6144,24576,33792
37,192,0,0,0,0,0,12096,0,0,0,0,0,7680,7680,24576,16896,39936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,960,0,0,0,0,0,2880,0,0,0,0,0,0,0,0,0,6144,3840,12288,8448,19968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,20,0,0,0,0,0,2860,0,0,0,0,0,0,0,0,0,0,0,0,0,4608,2880,9216,6336,14976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,64,0,0,0,0,0,36800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18432,11520,11520,25344,59904,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,792,0,0,0,0,0,21736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16384,10240,10240,32768,53248,0,0,0,0,0
