shell,k,start_index,E,F,success,iterations,theta_std,grad_E_norm,message,valid_barrier_constraint,numerical_excess_gt_1e_5,near_valid
12,1,0,2.83889641017332e-07,-5.684341886080804e-14,True,128,8.061672439239208e-08,0.7235673318422817,Optimization terminated successfully,True,False,True
12,2,0,7.493977309813715e-07,-2.078337502098293e-13,True,123,1.538598956101161e-07,1.0007860916876177,Optimization terminated successfully,True,False,True
12,3,0,8.907787041323445e-07,-2.033928581113287e-13,True,123,1.5294914759475046e-07,1.1975270567599128,Optimization terminated successfully,True,False,True
12,4,0,7.295853707844913e-07,-1.0835776720341529e-13,True,139,1.1056989955944732e-07,1.3494606526975643,Optimization terminated successfully,True,False,True
12,5,1,1.1064459868315168e-06,-2.0694557179012925e-13,True,145,1.5424438670646009e-07,1.470540561085008,Optimization terminated successfully,True,False,True
12,6,1,5.145789128135903e-07,-3.907985046680551e-14,True,157,6.731982076577422e-08,1.5679320996589166,Optimization terminated successfully,True,False,True
12,7,1,5.753495351257243e-07,-4.1744385725905886e-14,False,160,7.166997472368936e-08,1.6458447570197563,Iteration limit reached,True,False,True
12,8,1,7.521253833076003e-07,-7.016609515630989e-14,True,143,9.033598958962077e-08,1.7069483282014082,Optimization terminated successfully,True,False,True
12,9,1,8.91873083830319e-07,-9.592326932761353e-14,True,153,1.0429398502908197e-07,1.7530014920130428,Optimization terminated successfully,True,False,True
12,10,0,6.475375862180499e-07,-4.618527782440651e-14,True,149,7.431364836234511e-08,1.7851694782576517,Optimization terminated successfully,True,False,True
12,11,0,1.0186809014101073e-06,-1.1457501614131618e-13,True,150,1.1569197957623281e-07,1.804194940461416,Optimization terminated successfully,True,False,True
12,12,1,7.419728369484346e-07,-6.039613253960854e-14,True,146,8.39673961912224e-08,1.810492418578801,Optimization terminated successfully,True,False,True
12,13,1,6.44025917928559e-07,-4.618527782440651e-14,False,160,7.329315888979458e-08,1.8041950940578668,Iteration limit reached,True,False,True
12,14,1,6.777913945654745e-07,-5.3290705182007527e-14,True,158,7.764233379135153e-08,1.785169725727862,Optimization terminated successfully,True,False,True
12,15,1,8.874215700060972e-07,-9.325873406851316e-14,True,149,1.0365753638979524e-07,1.7530019995124382,Optimization terminated successfully,True,False,True
12,16,1,1.2008485867909258e-06,-1.820765760385257e-13,True,138,1.4391999240175096e-07,1.7069490909557283,Optimization terminated successfully,True,False,True
12,17,0,8.473921866425371e-07,-9.592326932761353e-14,True,150,1.054305423899795e-07,1.645845477390126,Optimization terminated successfully,True,False,True
12,18,0,8.225404997119767e-07,-1.021405182655144e-13,True,149,1.0748178250932357e-07,1.5679329524503274,Optimization terminated successfully,True,False,True
12,19,0,1.3097320312738248e-06,-2.948752353404417e-13,True,136,1.826742666732e-07,1.4705424779804723,Optimization terminated successfully,True,False,True
12,20,1,7.655131053496689e-07,-1.2079226507921708e-13,True,139,1.1618081091395061e-07,1.3494621299273943,Optimization terminated successfully,True,False,True
12,21,0,5.941294780598128e-07,-9.237055564881302e-14,True,142,1.0186923837183572e-07,1.1975289167265537,Optimization terminated successfully,True,False,True
12,22,1,4.158706232715305e-07,-6.217248937900879e-14,True,112,8.51588741917212e-08,1.0007880322738651,Optimization terminated successfully,True,False,True
12,23,1,4.859474618257309e-07,-1.6697754290362354e-13,True,95,1.375665311276817e-07,0.723569282409151,Optimization terminated successfully,True,False,True
16,1,0,5.707183995395937e-07,-1.5543122344752194e-13,True,131,1.0837828962082428e-07,1.07825693754632,Optimization terminated successfully,True,False,True
16,2,0,1.0061657940152458e-06,-2.522426711948356e-13,True,137,1.383106835602315e-07,1.4913678223175513,Optimization terminated successfully,True,False,True
16,3,1,8.891832496971119e-07,-1.376676550535194e-13,True,143,1.02030955808539e-07,1.7845507584730165,Optimization terminated successfully,True,False,True
16,4,1,1.0076156202742936e-06,-1.376676550535194e-13,True,139,1.0262567857603749e-07,2.01096112793593,Optimization terminated successfully,True,False,True
16,5,1,1.0575183191363635e-06,-1.2612133559741778e-13,True,160,9.869981583636461e-08,2.1913943109968783,Optimization terminated successfully,True,False,True
16,6,1,8.418145673871891e-07,-7.105427357601003e-14,True,160,7.388666717835744e-08,2.336526259655736,Optimization terminated successfully,True,False,True
16,7,0,9.109637026938344e-07,-7.638334409421078e-14,True,156,7.635950794073733e-08,2.4526314109911733,Optimization terminated successfully,True,False,True
16,8,1,8.200481547149252e-07,-5.950795411990839e-14,True,153,6.608299122403458e-08,2.543687846890335,Optimization terminated successfully,True,False,True
16,9,1,1.344173932160686e-06,-1.4654943925052066e-13,True,153,1.0551591434266625e-07,2.612315974083072,Optimization terminated successfully,True,False,True
16,10,1,1.0613468051090535e-06,-8.881784197001252e-14,True,154,8.170842794680671e-08,2.6602525530908627,Optimization terminated successfully,True,False,True
16,11,1,1.3216646657099318e-06,-1.3233858453531866e-13,False,160,1.0091587405838173e-07,2.688604252539025,Iteration limit reached,True,False,True
16,12,1,8.422163642052283e-07,-5.3290705182007527e-14,True,154,6.395591096534325e-08,2.6979887021959184,Optimization terminated successfully,True,False,True
16,13,0,1.0747585452719477e-06,-8.79296635503124e-14,False,160,8.193413338691843e-08,2.68860445687469,Iteration limit reached,True,False,True
16,14,1,2.017057910563836e-05,-3.388306965734401,False,160,5.221082375610735,2.6457797301601444,Iteration limit reached,False,True,False
16,15,1,5.124512077081533e-05,-1.934847215778745e-08,False,160,3.826104721491479e-05,2.612329828195304,Iteration limit reached,False,True,True
16,16,0,1.0653431079532538e-06,-9.325873406851316e-14,True,151,8.58290407959157e-08,2.543688526571228,Optimization terminated successfully,True,False,True
16,17,1,0.0001223200199085,-0.7581698782610147,False,160,520.0904018572503,2.581834103140346,Iteration limit reached,False,True,False
16,18,0,8.594580584997402e-07,-7.371880883511042e-14,True,153,7.544630568362631e-08,2.3365272611809247,Optimization terminated successfully,True,False,True
16,19,0,8.725855593638698e-07,-8.79296635503124e-14,True,153,8.157119388067971e-08,2.1913957243983027,Optimization terminated successfully,True,False,True
16,20,0,9.60673151695346e-07,-1.2612133559741778e-13,True,148,9.79202870809906e-08,2.0109629230101302,Optimization terminated successfully,True,False,True
16,21,0,9.086974639416212e-07,-1.4832579608992096e-13,True,141,1.044043030892186e-07,1.7845528371245778,Optimization terminated successfully,True,False,True
16,22,0,1.0108228334360092e-06,-2.557953848736361e-13,True,135,1.3880276631987201e-07,1.49137092277447,Optimization terminated successfully,True,False,True
16,23,0,3.540891082565168e-07,-6.217248937900879e-14,True,134,6.728591968782796e-08,1.0782591004079494,Optimization terminated successfully,True,False,True
