shell,prefix_constraints_tested,valid_barrier_rows_F_ge_minus_1e_10,near_barrier_rows_F_ge_minus_1e_7,invalid_solver_or_below_barrier_rows,max_valid_E,k_at_max_valid_E,F_at_max_valid_E,valid_E_gt_1e_5,near_E_gt_1e_5,max_near_E
12,23,23,23,0,1.3097320312738248e-06,19,-2.948752353404417e-13,0,0,1.3097320312738248e-06
16,23,20,21,3,1.344173932160686e-06,9,-1.4654943925052066e-13,0,1,5.124512077081533e-05
