intervention_id,intervention_size,block_code_a,block_code_b,candidate_unrepaired_word_count,candidate_word_count,state_count,new_state_count,edge_count,new_edge_count,cut_edge_count,old_cut_edge_still_cut_count,old_cut_edge_same_side_count,promoted_cut_edge_count,promoted_only_cut_edge_count,lambda_2_x1e12,cut_conductance_x1e12,conductance_reduction_x1e12,support_changed_flag,selected_best_flag
0,1,1452,-1,124,784,984,124,3134,563,11,6,0,11,5,2479064000,4670913000,-341909000,0,0
1,1,4521,-1,112,728,972,112,3071,500,11,6,0,11,5,2522752000,4912908000,-583904000,0,0
2,1,2114,-1,85,123,945,85,3045,474,6,6,0,6,0,1972362000,2645503000,1683501000,0,1
3,1,1145,-1,84,149,944,84,3037,466,6,6,0,6,0,1981454000,2671416000,1657588000,0,0
4,1,5214,-1,79,500,939,79,2881,310,15,6,0,15,9,2833197000,7841087000,-3512083000,0,0
5,1,5521,-1,69,356,929,69,2871,300,12,6,0,12,6,2681331000,6103764000,-1774760000,0,0
6,2,1452,4521,236,1512,984,124,3134,563,11,6,0,11,5,2479064000,4670913000,-341909000,0,0
7,2,1452,2114,209,907,984,124,3134,563,11,6,0,11,5,2479064000,4670913000,-341909000,0,0
8,2,1452,1145,208,933,984,124,3134,563,11,6,0,11,5,2479064000,4670913000,-341909000,0,0
9,2,1452,5214,203,1284,984,124,3134,563,11,6,0,11,5,2479064000,4670913000,-341909000,0,0
10,2,1452,5521,193,1140,984,124,3134,563,11,6,0,11,5,2479064000,4670913000,-341909000,0,0
11,2,4521,2114,197,851,982,122,3129,558,11,6,0,11,5,2456465000,4670913000,-341909000,0,0
12,2,4521,1145,196,877,982,122,3129,558,11,6,0,11,5,2456465000,4670913000,-341909000,0,0
13,2,4521,5214,191,1228,976,116,3086,515,11,6,0,11,5,2543634000,4869411000,-540407000,0,0
14,2,4521,5521,181,1084,984,124,3134,563,11,6,0,11,5,2479064000,4670913000,-341909000,0,0
15,2,2114,1145,169,272,947,87,3048,477,6,6,0,6,0,1971088000,2645503000,1683501000,0,0
16,2,2114,5214,164,623,980,120,3122,551,11,6,0,11,5,2480783000,4670913000,-341909000,0,0
17,2,2114,5521,154,479,971,111,3105,534,13,6,0,13,7,2407679000,5501481000,-1172477000,0,0
18,2,1145,5214,163,649,981,121,3124,553,11,6,0,11,5,2479674000,4670913000,-341909000,0,0
19,2,1145,5521,153,505,973,113,3108,537,13,6,0,13,7,2406296000,5501481000,-1172477000,0,0
20,2,5214,5521,148,856,954,94,2969,398,11,6,0,11,5,2677516000,5285920000,-956916000,0,0
