candidate_id,block_code,occurrence_count,word_count,unrepaired_word_count,native_repair_word_count,skip_repair_word_count,left_radius2_word_count,right_radius2_word_count,rank_min,rank_max,mobile_flag,local_touch_flag,base_promoted_flag,selected_screen_flag,score
0,1452,909,784,124,423,646,75,48,4,15,1,0,0,1,10124784909
1,4521,864,728,112,367,604,65,39,5,16,1,0,0,1,10112728864
2,2114,126,123,85,12,31,3,0,2,13,1,0,0,1,10085123126
3,1145,156,149,84,31,58,4,1,3,14,1,0,0,1,10084149156
4,5214,509,500,79,252,411,53,42,4,13,1,0,0,1,10079500509
5,5521,378,356,69,137,277,34,23,5,16,1,0,0,1,10069356378
6,2552,320,314,61,110,241,33,19,5,15,1,0,0,0,10061314320
7,4522,216,212,31,105,179,14,8,5,15,1,0,0,0,10031212216
8,5212,102,99,27,12,70,3,0,6,14,1,0,0,0,10027099102
9,5225,120,120,26,39,92,6,3,4,14,1,0,0,0,10026120120
10,4525,141,141,25,59,114,6,2,5,14,1,0,0,0,10025141141
11,2125,93,90,24,12,64,3,0,7,13,1,0,0,0,10024090093
12,2255,80,80,23,10,55,3,1,5,11,1,0,0,0,10023080080
13,2152,69,68,18,30,48,1,2,2,15,1,0,0,0,10018068069
14,2521,178,173,16,113,157,14,15,7,16,1,0,0,0,10016173178
15,1521,168,160,16,112,143,4,6,3,16,1,0,0,0,10016160168
16,5145,266,246,15,185,227,27,5,5,14,1,0,0,0,10015246266
17,5221,142,141,15,89,126,10,7,6,16,1,0,0,0,10015141142
18,2155,46,46,15,15,29,1,2,2,13,1,0,0,0,10015046046
19,2551,77,77,12,40,65,6,4,5,12,1,0,0,0,10012077077
20,5215,74,74,12,38,62,1,3,4,14,1,0,0,0,10012074074
21,4452,171,166,11,59,155,4,2,4,15,1,0,0,0,10011166171
22,1552,92,92,11,52,78,4,7,3,14,1,0,0,0,10011092092
23,1214,51,51,11,24,40,1,1,3,13,1,0,0,0,10011051051
24,1541,17,16,10,4,4,1,1,3,8,1,0,0,0,10010016017
25,5412,56,56,9,36,46,3,2,4,10,1,0,0,0,10009056056
26,5512,28,28,9,13,19,2,1,4,11,1,0,0,0,10009028028
27,1254,211,211,8,191,203,4,4,6,11,1,0,0,0,10008211211
28,5514,64,64,8,38,56,7,4,8,13,1,0,0,0,10008064064
29,5211,42,42,8,18,34,0,0,6,12,1,0,0,0,10008042042
30,2525,84,75,7,53,68,8,5,5,11,1,0,0,0,10007075084
31,4125,70,69,7,52,61,8,2,5,11,1,0,0,0,10007069070
32,2512,46,46,7,27,38,3,1,6,10,1,0,0,0,10007046046
33,2214,37,37,7,16,30,1,0,9,13,1,0,0,0,10007037037
34,1525,25,25,7,13,17,0,4,3,9,1,0,0,0,10007025025
35,2541,128,128,6,108,122,3,3,7,12,1,0,0,0,10006128128
36,1445,124,121,6,14,115,4,1,3,14,1,0,0,0,10006121124
37,5415,62,62,6,46,55,1,1,4,13,1,0,0,0,10006062062
38,5121,22,22,6,4,16,0,0,8,12,1,0,0,0,10006022022
39,2555,20,20,6,2,14,0,0,7,10,1,0,0,0,10006020020
40,1551,14,14,6,8,8,2,1,3,11,1,0,0,0,10006014014
41,2121,11,11,6,1,5,0,0,2,10,1,0,0,0,10006011011
42,1251,90,82,5,67,77,7,2,6,12,1,0,0,0,10005082090
43,5445,64,64,5,49,58,1,1,4,13,1,0,0,0,10005064064
44,2252,35,35,5,16,30,1,2,7,15,1,0,0,0,10005035035
45,3125,181,180,4,168,176,1,21,5,11,1,0,0,0,10004180181
46,4514,106,104,4,92,100,9,1,4,13,1,0,0,0,10004104106
47,4152,56,56,4,43,52,1,1,5,14,1,0,0,0,10004056056
48,5522,31,31,4,15,27,1,0,4,11,1,0,0,0,10004031031
49,2522,29,29,4,18,25,2,1,5,15,1,0,0,0,10004029029
50,2115,24,24,4,12,20,0,0,7,13,1,0,0,0,10004024024
