candidate_id,block_code,occurrence_count,word_count,unrepaired_word_count,native_repair_word_count,skip_repair_word_count,left_radius2_word_count,right_radius2_word_count,rank_min,rank_max,mobile_flag,local_touch_flag,base_promoted_flag,selected_screen_flag,score
51,5552,13,13,4,1,9,0,0,8,11,1,0,0,0,10004013013
52,1215,12,12,4,4,8,0,0,4,11,1,0,0,0,10004012012
53,2144,124,121,3,12,118,4,2,2,13,1,0,0,0,10003121124
54,2514,97,96,3,72,89,13,0,7,13,1,0,0,0,10003096097
55,1152,46,46,3,35,43,2,1,6,14,1,0,0,0,10003046046
56,5114,13,13,3,4,10,0,0,9,12,1,0,0,0,10003013013
57,1522,10,10,3,7,7,0,2,3,11,1,0,0,0,10003010010
58,5551,10,10,3,1,7,0,0,8,11,1,0,0,0,10003010010
59,1144,6,6,3,2,3,0,0,3,11,1,0,0,0,10003006006
60,1544,5,5,3,0,1,0,0,3,6,1,0,0,0,10003005005
61,2112,5,5,3,0,2,0,0,2,8,1,0,0,0,10003005005
62,2544,79,79,2,71,77,1,1,7,12,1,0,0,0,10002079079
63,5251,55,55,2,32,48,7,0,5,12,1,0,0,0,10002055055
64,5411,36,36,2,30,34,1,1,8,10,1,0,0,0,10002036036
65,4121,33,33,2,27,31,1,1,9,11,1,0,0,0,10002033033
66,1155,30,30,2,20,28,5,2,6,11,1,0,0,0,10002030030
67,4114,27,27,2,15,25,1,1,5,11,1,0,0,0,10002027027
68,5222,24,24,2,17,22,1,1,6,15,1,0,0,0,10002024024
69,2251,14,14,2,10,12,2,0,5,12,1,0,0,0,10002014014
70,2122,8,8,2,2,6,0,0,7,15,1,0,0,0,10002008008
71,2215,8,8,2,2,6,0,0,7,10,1,0,0,0,10002008008
72,1225,6,6,2,0,4,0,0,8,9,1,0,0,0,10002006006
73,2225,6,6,2,0,4,0,0,7,8,1,0,0,0,10002006006
74,1121,4,4,2,2,2,0,0,3,11,1,0,0,0,10002004004
75,4155,18,18,1,10,16,0,0,5,11,1,0,0,0,10001018018
76,1125,9,9,1,2,8,0,0,6,11,1,0,0,0,10001009009
77,2212,4,4,1,1,3,0,0,7,10,1,0,0,0,10001004004
78,1212,3,3,1,2,2,0,0,4,11,1,0,0,0,10001003003
79,1555,3,3,1,0,2,0,0,8,9,1,0,0,0,10001003003
80,3114,3,3,1,2,2,0,0,5,11,1,0,0,0,10001003003
81,1345,473,430,0,314,430,52,1,3,14,1,0,0,0,10000430473
82,2134,418,405,0,354,405,55,2,2,13,1,0,0,0,10000405418
83,3451,311,310,0,310,310,47,1,4,8,1,0,0,0,10000310311
84,2143,222,219,0,210,219,1,34,2,13,1,0,0,0,10000219222
85,1431,209,209,0,202,209,1,34,3,7,1,0,0,0,10000209209
86,4312,179,177,0,169,177,1,21,4,10,1,0,0,0,10000177179
87,3452,141,137,0,40,137,5,0,5,15,1,0,0,0,10000137141
88,1134,86,86,0,2,86,3,0,3,11,1,0,0,0,10000086086
89,1341,59,59,0,43,59,6,1,3,7,1,0,0,0,10000059059
90,4315,50,50,0,50,50,0,13,4,10,1,0,0,0,10000050050
91,3412,42,42,0,42,42,6,1,4,7,1,0,0,0,10000042042
92,2543,33,33,0,31,33,0,0,7,12,1,0,0,0,10000033033
93,4321,33,33,0,22,33,0,0,11,15,1,0,0,0,10000033033
94,3152,32,32,0,32,32,0,9,5,11,1,0,0,0,10000032032
95,3455,30,30,0,4,30,3,0,4,8,1,0,0,0,10000030030
96,5134,28,28,0,25,28,2,0,5,12,1,0,0,0,10000028028
97,5254,26,26,0,16,26,0,0,7,10,1,0,0,0,10000026026
98,5213,24,24,0,11,24,1,0,9,14,1,0,0,0,10000024024
99,5431,24,24,0,23,24,0,0,4,9,1,0,0,0,10000024024
100,1432,23,23,0,14,23,0,0,11,14,1,0,0,0,10000023023
101,4513,22,22,0,22,22,2,0,4,5,1,0,0,0,10000022022
102,2221,18,18,0,17,18,1,1,10,16,1,0,0,0,10000018018
103,3155,15,15,0,15,15,0,4,5,11,1,0,0,0,10000015015
104,4455,15,15,0,4,14,1,0,4,10,1,0,0,0,10000015015
105,5441,14,14,0,14,14,0,0,8,9,1,0,0,0,10000014014
106,2511,12,12,0,11,12,1,1,7,10,1,0,0,0,10000012012
107,4115,11,11,0,9,11,0,1,5,11,1,0,0,0,10000011011
108,4451,11,11,0,7,11,0,0,4,11,1,0,0,0,10000011011
109,5432,10,10,0,8,10,0,0,10,13,1,0,0,0,10000010010
110,1143,9,9,0,2,9,0,0,3,11,1,0,0,0,10000009009
111,3415,8,8,0,1,8,0,0,4,8,1,0,0,0,10000008008
112,4112,8,8,0,4,8,0,0,5,10,1,0,0,0,10000008008
113,4345,7,7,0,7,7,0,0,9,11,1,0,0,0,10000007007
114,4411,7,7,0,4,7,0,1,4,10,1,0,0,0,10000007007
115,4412,7,7,0,4,7,0,0,4,10,1,0,0,0,10000007007
116,4445,7,7,0,7,7,0,0,9,11,1,0,0,0,10000007007
117,5434,7,7,0,7,7,0,0,8,10,1,0,0,0,10000007007
118,5444,7,7,0,7,7,0,0,8,10,1,0,0,0,10000007007
119,4415,6,6,0,6,6,0,0,9,10,1,0,0,0,10000006006
120,1211,4,4,0,4,4,0,0,10,11,1,0,0,0,10000004004
121,1221,4,4,0,4,4,0,0,10,16,1,0,0,0,10000004004
122,2513,4,4,0,3,4,0,0,8,11,1,0,0,0,10000004004
123,4111,4,4,0,4,4,0,0,9,10,1,0,0,0,10000004004
124,4311,4,4,0,4,4,0,0,9,10,1,0,0,0,10000004004
125,5544,3,3,0,1,3,0,0,6,9,1,0,0,0,10000003003
126,1114,2,2,0,2,2,0,0,10,11,1,0,0,0,10000002002
127,1115,2,2,0,2,2,0,0,10,11,1,0,0,0,10000002002
128,1213,2,2,0,2,2,0,0,10,11,1,0,0,0,10000002002
129,1321,2,2,0,2,2,0,0,15,16,1,0,0,0,10000002002
130,2132,2,2,0,2,2,0,0,14,15,1,0,0,0,10000002002
131,2222,2,2,0,2,2,0,0,14,15,1,0,0,0,10000002002
132,3115,2,2,0,2,2,0,0,10,11,1,0,0,0,10000002002
133,3121,2,2,0,2,2,0,0,10,11,1,0,0,0,10000002002
134,3345,2,2,0,2,2,0,0,10,11,1,0,0,0,10000002002
135,3445,2,2,0,2,2,0,0,10,11,1,0,0,0,10000002002
136,4113,2,2,0,2,2,0,0,9,10,1,0,0,0,10000002002
137,4122,2,2,0,2,2,0,0,9,10,1,0,0,0,10000002002
138,4334,2,2,0,2,2,0,0,9,10,1,0,0,0,10000002002
139,4344,2,2,0,2,2,0,0,9,10,1,0,0,0,10000002002
140,4434,2,2,0,2,2,0,0,9,10,1,0,0,0,10000002002
141,4444,2,2,0,2,2,0,0,9,10,1,0,0,0,10000002002
142,5433,2,2,0,2,2,0,0,8,9,1,0,0,0,10000002002
143,5443,2,2,0,2,2,0,0,8,9,1,0,0,0,10000002002
144,5513,2,2,0,0,2,0,0,6,9,1,0,0,0,10000002002
145,5321,984,984,124,562,846,76,48,0,0,0,0,0,0,124984984
146,3211,191,191,87,0,97,6,0,1,1,0,0,0,0,87191191
147,3215,46,46,29,10,10,2,2,1,1,0,0,0,0,29046046
148,2154,25,25,13,9,9,1,1,2,2,0,0,0,0,13025025
149,3213,398,398,5,351,393,55,2,1,1,0,0,0,0,5398398
150,1331,5,5,5,0,0,0,0,3,3,0,0,0,0,5005005
151,2133,5,5,5,0,0,0,0,2,2,0,0,0,0,5005005
152,3312,4,4,4,0,0,0,0,4,4,0,0,0,0,4004004
153,3212,3,3,3,0,0,0,0,1,1,0,0,0,0,3003003
154,4154,2,2,1,0,1,0,0,5,5,0,0,0,0,1002002
155,3311,1,1,1,0,0,0,0,4,4,0,0,0,0,1001001
156,3214,346,346,0,201,346,13,44,1,1,0,0,0,0,346346
157,2113,84,84,0,0,84,3,0,2,2,0,0,0,0,84084
158,4554,11,11,0,0,11,1,0,5,5,0,0,0,0,11011
159,1543,9,9,0,9,9,0,0,3,3,0,0,0,0,9009
160,3411,9,9,0,0,9,0,0,4,4,0,0,0,0,9009
161,5541,9,9,0,0,9,1,0,6,6,0,0,0,0,9009
162,1441,6,6,0,0,6,0,1,3,3,0,0,0,0,6006
163,2254,3,3,0,3,3,0,0,10,10,0,0,0,0,3003
164,3154,3,3,0,3,3,0,0,5,5,0,0,0,0,3003
165,2211,2,2,0,2,2,0,0,10,10,0,0,0,0,2002
166,2554,2,2,0,1,2,0,0,8,8,0,0,0,0,2002
167,1154,1,1,0,1,1,0,0,7,7,0,0,0,0,1001
168,2213,1,1,0,1,1,0,0,10,10,0,0,0,0,1001
169,5143,1,1,0,1,1,0,0,6,6,0,0,0,0,1001
170,5543,1,1,0,0,1,0,0,6,6,0,0,0,0,1001
