observable_id,observable_code,value,scale_code
0,0,1560,0
1,1,782,0
2,2,3,0
3,3,31,0
4,4,118940696591,0
5,5,512,0
6,6,96225044865,0
7,7,256,0
8,8,311390786321,0
9,9,1024,0
10,10,1557,0
11,11,1557,0
12,12,0,0
13,13,73509393139,0
14,14,1,0
15,15,3,0
16,16,1,0
17,17,6,0
18,18,3,0
19,19,6,0
20,20,3,0
21,21,3,0
22,22,1,0
23,23,15,0
24,24,0,0
25,25,1,0
