slice_coordinate_id,support_row_id,relation_id,coefficient_signed,block_i,rep4,binary_active_flag,rref_pivot_flag
0,0,155,343751,1,6,0,0
1,2,157,-343751,1,6,0,0
2,9,164,-343751,1,6,1,1
3,10,165,343751,1,6,1,1
4,15,895,164063,5,6,0,0
5,16,896,-164063,5,6,1,1
6,17,897,164063,5,6,0,0
7,19,908,164063,5,6,1,1
8,20,909,-164063,5,6,1,1
9,23,916,-164063,5,6,1,1
10,26,923,-164063,5,6,0,0
11,27,926,-164063,5,6,1,1
12,28,927,164063,5,6,1,1
13,30,930,-164063,5,6,0,0
14,33,935,164063,5,6,0,0
15,34,938,164063,5,6,1,1
16,36,941,-164063,5,6,1,1
17,37,943,-164063,5,6,1,1
18,39,951,164063,5,6,1,1
19,40,954,164063,5,6,1,1
20,44,961,-164063,5,6,0,0
21,45,962,-164063,5,6,1,1
22,47,965,164063,5,6,1,1
23,48,969,164063,5,6,1,1
