weight,rowspace_word_count,w24_allowed_weight_flag,forbidden_weight_flag
0,1,1,0
1,16,0,1
2,120,0,1
3,560,0,1
4,1820,0,1
5,4368,0,1
6,8008,0,1
7,11440,0,1
8,12870,1,0
9,11440,0,1
10,8008,0,1
11,4368,0,1
12,1820,1,0
13,560,0,1
14,120,0,1
15,16,0,1
16,1,1,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,1,0
