rank_id,family_id,priority_code,blocking_code,next_action_code,depends_on_family_code,emission_order
0,1,0,4,0,-1,0
1,2,1,0,1,4,1
2,3,1,3,2,0,2
3,4,2,1,3,0,3
4,5,2,2,4,1,4
