quotient_generator,zero_sector_count,zero_sectors,nonzero_sector_count,contains_sector33_in_kernel,kernel_is_exact_sector33,kernel_extra_non_public_zero_sectors,kernel_equals_public_zero_supports,public_zero_supports_contained_in_kernel,zero_sectors_perennial_ids
z2_a12_parity,1,[33],38,True,True,[],"[""{33}""]","[""{33}""]",a985pf.0f1476a5434aef02bb516590
z4_a12_frame_clock,2,"[20,33]",37,True,False,[20],[],"[""{33}""]",a985pf.605336b16161cbfacb8c7451|a985pf.0f1476a5434aef02bb516590
z4_a42_clock,1,[33],38,True,True,[],"[""{33}""]","[""{33}""]",a985pf.0f1476a5434aef02bb516590
