atom_id,semantic_row_count,stress_node_present_flag,source_present_flag,thermal_weight_num,thermal_weight_den,stress_neighbor_count,stress_complement,signed_tension_scaled,complement_source_count,complement_imbalance
0,1,1,1,1,59,5,19,10000000000,6,-5
1,3,1,1,3,59,5,18,812412783,4,-1
2,1,1,1,1,59,5,17,2323258234,3,-2
3,4,1,1,4,59,5,16,338229093,1,3
4,1,1,1,1,59,5,15,1464034193,5,-4
5,4,1,1,4,59,5,14,2807949144,2,2
6,1,1,1,1,59,5,13,141468728,5,-4
7,6,1,1,6,59,5,12,4054536444,1,5
8,1,1,1,1,59,5,11,7465207748,3,-2
9,5,1,1,5,59,5,10,6047383004,2,3
10,2,1,1,2,59,5,9,-6047383004,5,-3
11,3,1,1,3,59,5,8,-7465207748,1,2
12,1,1,1,1,59,5,7,-4054536444,6,-5
13,5,1,1,5,59,5,6,-141468728,1,4
14,2,1,1,2,59,5,5,-2807949144,4,-2
15,5,1,1,5,59,5,4,-1464034193,1,4
16,1,1,1,1,59,5,3,-338229093,4,-3
17,3,1,1,3,59,5,2,-2323258234,1,2
18,4,1,1,4,59,5,1,-812412783,3,1
19,6,1,1,6,59,5,0,-10000000000,1,5
