pair_id,atom_id,complement_atom,source_count,complement_source_count,pair_source_count,imbalance_abs,signed_tension_sum_scaled
0,0,19,1,6,7,5,0
1,1,18,3,4,7,1,0
2,2,17,1,3,4,2,0
3,3,16,4,1,5,3,0
4,4,15,1,5,6,4,0
5,5,14,4,2,6,2,0
6,6,13,1,5,6,4,0
7,7,12,6,1,7,5,0
8,8,11,1,3,4,2,0
9,9,10,5,2,7,3,0
