rank,seed_rank,p31_id,seed_spread,ext_p25_id,p25_a,p25_b,p25_c,p25_d,p25_e,p25_f,face_a,face_b,face_c,face_d,face_e,face_f,branch_p0_support,branch_p1_support,branch_p2_support,branch_p3_support,branch_p4_support,branch_support_min,branch_support_max,branch_min_spread,below_p39_floor_flag,below_p38_floor_flag,below_p37_floor_flag,below_p36_floor_flag,below_p35_floor_flag,below_p34_floor_flag,below_p33_floor_flag,below_p32_floor_flag,below_p31_floor_flag,below_p30_floor_flag,below_p29_floor_flag,below_p28_floor_flag,below_p27_floor_flag,below_p25_floor_flag,support_equal_flag
18,4686,66182172,11981312,12,4,10,22,24,136,12,12,12,12,12,26,12,207418240,206604800,207830144,206252032,206786944,206252032,207830144,1578112,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0
19,4687,97568286,11981312,44,6,18,40,42,120,44,12,12,12,12,26,12,206604800,207418240,206252032,207830144,206786944,206252032,207830144,1578112,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0
20,22238,66103768,17763584,24,4,10,12,22,136,24,12,12,12,12,26,12,207418240,206604800,207830144,206252032,206786944,206252032,207830144,1578112,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0
21,22239,97578686,17763584,40,6,18,42,44,120,40,12,12,12,12,26,12,206604800,207418240,206252032,207830144,206786944,206252032,207830144,1578112,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0
22,8748,152019836,14045024,128,10,26,41,94,114,128,12,12,12,22,26,26,271567360,272779104,272060928,271134976,271907520,271134976,272779104,1644128,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0
23,8749,237127204,14045024,110,18,20,25,48,106,110,12,12,12,22,26,26,272779104,271567360,271134976,272060928,271907520,271134976,272779104,1644128,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0
24,77330,152019850,24486464,114,10,26,41,94,128,114,12,12,12,22,26,26,271567360,272779104,272060928,271134976,271907520,271134976,272779104,1644128,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0
25,77331,237127208,24486464,106,18,20,25,48,110,106,12,12,12,22,26,26,272779104,271567360,271134976,272060928,271907520,271134976,272779104,1644128,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0
26,1902,21780214,9576960,32,1,14,47,57,79,32,12,12,12,22,22,12,1054627840,1054627840,1056264192,1056264192,1056295424,1054627840,1056295424,1667584,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0
27,1903,26800585,9576960,14,1,32,47,57,79,14,12,12,12,22,22,12,1054627840,1054627840,1056264192,1056264192,1056295424,1054627840,1056295424,1667584,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0
28,2700,155111835,10483072,12,10,40,66,124,128,12,12,12,22,26,26,12,226904768,227446784,228471936,226687104,227771712,226687104,228471936,1784832,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0
29,2701,238437192,10483072,44,18,24,58,110,132,44,12,12,22,26,26,12,227446784,226904768,226687104,228471936,227771712,226687104,228471936,1784832,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0
30,6662,147710010,13160576,128,10,12,40,66,124,128,12,12,12,22,26,26,226904768,227446784,228471936,226687104,227771712,226687104,228471936,1784832,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0
31,6663,238376071,13160576,110,18,24,44,58,132,110,12,12,12,22,26,26,227446784,226904768,226687104,228471936,227771712,226687104,228471936,1784832,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0
