observable_id,observable_code,value,scale_code
0,0,144,0
1,1,131072,0
2,2,28075840,0
3,3,308298973,0
4,4,18219008,0
5,5,11213312,0
6,6,10515968,0
7,7,2601984,0
8,8,2447744,0
9,9,4213120,0
10,10,1815040,0
11,11,7541600,0
12,12,7982592,0
13,13,6796608,0
14,14,4589696,0
15,15,1667584,0
16,16,492736,0
17,17,492736,0
18,18,492736,0
19,19,492736,0
20,20,0,0
21,21,2,0
22,22,0,0
23,23,0,0
24,24,0,0
25,25,26,0
26,26,1046,0
27,27,4674,0
28,28,8050,0
29,29,6652,0
30,30,40,0
31,31,792,0
32,32,118,0
33,33,140,0
34,34,20354,0
35,35,24720,0
36,36,33327776,0
37,37,2100868571648,0
38,38,4756,0
39,39,29509840,0
40,40,128,0
41,41,12025920,0
42,42,4,0
43,43,7735158,0
44,44,1,0
45,45,1,0
46,46,1,0
47,47,1,0
