phase_code,edge_count,new_negative_carrier_count,new_negative_carrier_bitset,touched_negative_carrier_count,touched_negative_carrier_bitset,new_obstruction_carrier_count,new_obstruction_carrier_bitset,touched_obstruction_carrier_count,touched_obstruction_carrier_bitset,central_negative_edge_count,high_negative_edge_count,phase_flux_x1e12,phase_flux_fraction_x1e12,phase_entropy_x1e12,phase_entropy_fraction_x1e12
-1,7,3,8576,3,8576,2,384,2,384,7,0,171229334133,716553304244,617845485556,662662347407
0,1,1,512,1,512,0,0,0,0,1,0,14668386000,61383643810,61448773709,65906103683
1,8,2,80,6,9168,1,16,3,400,6,2,53064731256,222063051946,253074220661,271431548910
