branch_order_rank,negative_carrier_mask_class_id,first_prefix_length,first_boundary_mask_edge_id,first_positive_carrier_mask_class_id,first_boundary_partition_code,first_phase_code,previous_obstruction_flag,negative_region_flag,boundary_active_negative_flag,carrier_atom_mask,signature_class_count,stationary_mass_x1e12,axis_coordinate_x1e12,signed_residual_coordinate_x1e12,residual_gate_margin_x1e12,cumulative_flux_at_entry_x1e12,cumulative_entropy_at_entry_x1e12,total_edge_count_for_carrier,total_flux_for_carrier_x1e12,total_entropy_for_carrier_x1e12
1,13,1,14,11,5,-1,0,1,1,528384,21,139186405869,-174786314178,153594469828,303523154385,43567340880,135084234325,3,87549940842,296369606146
2,7,3,2,3,5,-1,1,1,1,6146,10,84796045230,25649971417,-184354619475,-34425934918,99959015928,333832398771,4,64364186690,250608672067
3,8,5,3,3,5,-1,1,1,1,6160,7,59073806638,43554955090,-162132241780,-12203557223,139072996173,486096919708,4,46255508005,196819587994
4,9,8,11,11,5,0,0,1,1,524288,30,25709462040,-65261173255,338024125115,487952809672,185897720133,679294259265,3,29476582980,131871227719
5,6,12,5,12,5,1,0,1,1,6144,6,28516604784,-63952303291,-102734864463,47193820094,228535856157,871202361706,1,8492755176,40218963410
6,4,14,4,12,5,1,1,1,1,2048,12,4001494860,155571000967,-172991524046,-23062839489,235250396733,909146705198,1,2823477696,16480422590
