shell,blocks,A_terms,N_terms,bracket_terms,P_terms,P_degree,P_coeff_min,P_coeff_max,P_negative_terms,P_positive_terms,P_coeff_l1,interpretation
12,2576,2576,1344,34720,69440,15,-13,13,34720,34720,182784,"P>=0 is pairwise Schur compression for pair (0,1); P can be negative below the barrier, so a barrier condition is required."
16,759,759,352,9262,18524,19,-17,17,9262,9262,64064,"P>=0 is pairwise Schur compression for pair (0,1); P can be negative below the barrier, so a barrier condition is required."
