observable_id,observable_code,value_x1e12,aux_id
0,0,798000000000000,-1
1,1,2523000000000000,-1
2,2,5859000000000000,-1
3,3,11718000000000000,-1
4,4,1668000000000000,-1
5,5,855000000000000,-1
6,6,481000000000000,-1
7,7,22000000000000,-1
8,8,5004000000000000,-1
9,9,855000000000000,-1
10,10,1095000000000000,-1
11,11,6000000000000,-1
12,12,6000000000000,-1
13,13,1024066000,-1
14,14,6000000000000,-1
15,15,6000000000000,-1
16,16,1024066000,-1
17,17,6000000000000,-1
18,18,6000000000000,-1
19,19,1024066000,-1
20,20,4329004000,-1
21,21,881720430000,-1
22,22,118279570000,-1
23,23,67723810000,-1
24,24,224107159000,-1
25,25,224107159000,-1
26,26,301270264000,-1
27,27,132794629000,-1
28,28,119531550000,-1
29,29,2133470000,-1
30,30,768049000,-1
31,31,1621437000,-1
32,32,7595153000,-1
33,33,450000000000000,-1
