center_id,center_code,support_state_count,support_mass_x1e12,center_x_x1e12,center_y_x1e12,center_radius_x1e12,distance_to_flow_center_x1e12,distance_to_cut_center_x1e12,distance_to_promoted_cut_center_x1e12,distance_to_left_boundary_x1e12,distance_to_gate_x1e12,distance_to_right_boundary_x1e12
0,0,798,1000000000000,67572661820,4522140858,67723810000,0,224107159000,224107159000,301270264000,132794629000,119531550000
1,-1,204,118279569876,-340098028430,-12525162587,340328589000,844533772000,640657713000,640657713000,970866362000,789416900000,860436110000
2,1,594,881720430124,122260193430,6808974246,122449651000,110498289000,329927865000,329927865000,296197380000,210736278000,158996684000
3,2,0,0,-38651644583,39576416917,55319458000,224107159000,0,0,355157701000,149337169000,293031038000
4,3,0,0,-38651644583,39576416917,55319458000,224107159000,0,0,355157701000,149337169000,293031038000
5,4,0,0,-38651644583,39576416917,55319458000,224107159000,0,0,355157701000,149337169000,293031038000
