transfer_edge_id,source_state_id,target_state_id,edge_weight,native_transition_flag,derived_transition_flag,promoted_transition_flag,promoted_only_transition_flag,old_repaired_edge_flag,old_spectral_cut_edge_flag,spectral_cut_edge_flag,undirected_stationary_flux_x1e12,source_to_target_probability_x1e12,target_to_source_probability_x1e12,source_stationary_mass_x1e12,target_stationary_mass_x1e12
215,49,97,1,0,1,0,0,1,0,0,170677590,250000000000,250000000000,341355180,341355180
216,50,51,1,0,1,0,0,1,0,0,170677590,166666666667,33333333333,512032770,2560163851
217,50,53,1,0,1,1,0,1,0,0,170677590,166666666666,142857142857,512032770,597371565
218,50,74,1,0,1,0,0,1,0,0,170677590,166666666666,200000000000,512032770,426693975
219,51,52,1,0,1,0,0,1,0,0,170677590,33333333333,250000000000,2560163851,341355180
220,51,53,1,0,1,1,0,1,0,0,170677590,33333333333,142857142857,2560163851,597371565
221,51,54,1,0,1,0,0,1,0,0,170677590,33333333333,166666666667,2560163851,512032770
222,51,55,1,0,1,0,0,1,0,0,170677590,33333333333,142857142857,2560163851,597371565
223,51,56,1,0,1,0,0,1,0,0,170677590,33333333333,125000000000,2560163851,682710360
224,51,57,1,0,1,1,0,1,0,0,170677590,33333333333,142857142857,2560163851,597371565
225,51,58,1,0,1,0,0,1,0,0,170677590,33333333333,142857142857,2560163851,597371565
226,51,59,1,0,1,0,0,1,0,0,170677590,33333333333,100000000000,2560163851,853387950
227,51,65,1,0,1,0,0,1,0,0,170677590,33333333333,142857142857,2560163851,597371565
228,51,75,1,0,1,0,0,1,0,0,170677590,33333333333,40000000000,2560163851,2133469876
229,51,83,1,0,1,0,0,1,0,0,170677590,33333333333,100000000000,2560163851,853387950
230,52,53,1,0,1,1,0,1,0,0,170677590,250000000000,142857142857,341355180,597371565
231,52,76,1,0,1,0,0,1,0,0,170677590,250000000000,333333333334,341355180,256016385
232,53,55,1,0,1,1,0,1,0,0,170677590,142857142857,142857142857,597371565,597371565
233,53,77,1,0,1,1,0,1,0,0,170677590,142857142857,166666666667,597371565,512032770
234,53,98,1,0,1,1,1,0,0,0,170677590,142857142857,250000000000,597371565,341355180
235,54,55,1,0,1,0,0,1,0,0,170677590,166666666666,142857142857,512032770,597371565
236,54,78,1,0,1,0,0,1,0,0,170677590,166666666666,200000000000,512032770,426693975
237,55,79,1,0,1,0,0,1,0,0,170677590,142857142857,166666666667,597371565,512032770
238,56,57,1,0,1,1,0,1,0,0,170677590,125000000000,142857142857,682710360,597371565
239,56,59,1,0,1,0,0,1,0,0,170677590,125000000000,100000000000,682710360,853387950
240,56,80,1,0,1,0,0,1,0,0,170677590,125000000000,125000000000,682710360,682710360
241,57,58,1,0,1,1,0,1,0,0,170677590,142857142857,142857142857,597371565,597371565
242,57,81,1,0,1,1,0,1,0,0,170677590,142857142857,166666666667,597371565,512032770
243,57,99,1,0,1,1,1,1,0,0,170677590,142857142857,250000000000,597371565,341355180
244,58,59,1,0,1,0,0,1,0,0,170677590,142857142857,100000000000,597371565,853387950
245,58,82,1,0,1,0,0,1,0,0,170677590,142857142857,142857142857,597371565,597371565
246,59,83,1,0,1,0,0,1,0,0,170677590,100000000000,100000000000,853387950,853387950
247,60,62,1,0,1,0,0,1,0,0,170677590,200000000000,166666666667,426693975,512032770
