side_flow_id,spectral_side_code,state_count,promoted_window_state_count,promoted_only_state_count,weighted_volume,stationary_mass_x1e12,cut_edge_count,cut_weight,cut_flux_x1e12,old_cut_edge_count,old_cut_flux_x1e12,promoted_cut_edge_count,promoted_cut_flux_x1e12,center_x_x1e12,center_y_x1e12,center_radius_x1e12,distance_to_flow_center_x1e12
0,-1,204,39,10,1386,118279569876,6,6,1024065540,6,1024065540,6,1024065540,-340098028430,-12525162587,340328589000,844533772000
1,1,594,76,1,10332,881720430124,6,6,1024065540,6,1024065540,6,1024065540,122260193430,6808974246,122449651000,110498289000
